seed,split,split_label,baseline,n_train,n_test,mean_rowwise_pearson,median_rowwise_pearson,mean_rmse,median_rmse,alpha,n_bits
24,split_random,random,global_train_mean,1763,437,0.15663475132683566,0.12689861075295122,0.08288561321644089,0.06632398443216964,,
24,split_random,random,cell_context_mean,1763,437,0.2286825103943756,0.21568276577734893,0.08232700849403436,0.06606441075298182,,
24,split_random,random,drug_mean,1763,437,0.23556398572536655,0.20035241330742803,0.08322092155652284,0.07037465149238907,,
24,split_random,random,cell_dose_mean,1763,437,0.245074758528211,0.23940610983006724,0.08235697896131601,0.06707228540107887,,
24,split_random,random,ridge_cell_dose,1763,437,0.22650567355822968,0.20914991243631365,0.08237064319375087,0.06661234534271077,10.0,
24,split_random,random,ridge_drug_fp,1763,437,0.23865114774085802,0.20764456683369298,0.08252647453497657,0.06943061747960601,10.0,1024.0
24,split_random,random,ridge_cell_dose_drug_fp,1763,437,0.28652529664303195,0.24742417721868556,0.08164379400105638,0.06939985024589848,10.0,1024.0
24,split_cell_heldout,cell_heldout,global_train_mean,1456,744,0.10131094037380377,0.08896578214448153,0.08180447288531892,0.05742139415660051,,
24,split_cell_heldout,cell_heldout,cell_context_mean,1456,744,0.10131094037380377,0.08896578214448153,0.08180447288531892,0.05742139415660051,,
24,split_cell_heldout,cell_heldout,drug_mean,1456,744,0.1688182993990381,0.15138701558491532,0.08472166135117086,0.06228211761406774,,
24,split_cell_heldout,cell_heldout,cell_dose_mean,1456,744,0.10131094037380377,0.08896578214448153,0.08180447288531892,0.05742139415660051,,
24,split_cell_heldout,cell_heldout,ridge_cell_dose,1456,744,0.10065146446154753,0.08782396023325927,0.08188090091627663,0.05858368015310997,10.0,
24,split_cell_heldout,cell_heldout,ridge_drug_fp,1456,744,0.169729458848583,0.15186274416556672,0.0838479634304856,0.061778513584697506,10.0,1024.0
24,split_cell_heldout,cell_heldout,ridge_cell_dose_drug_fp,1456,744,0.17093623812049077,0.148462294024118,0.08395215451228023,0.061876659091350435,10.0,1024.0
24,split_scaffold_heldout,scaffold_heldout,global_train_mean,1801,399,0.165384545982175,0.14781725305904217,0.08137205751126944,0.06646143198324139,,
24,split_scaffold_heldout,scaffold_heldout,cell_context_mean,1801,399,0.2334933823822444,0.22052022450441086,0.08077134146170106,0.06659648246166065,,
24,split_scaffold_heldout,scaffold_heldout,drug_mean,1801,399,0.165384545982175,0.14781725305904217,0.08137205751126944,0.06646143198324139,,
24,split_scaffold_heldout,scaffold_heldout,cell_dose_mean,1801,399,0.25279503499820727,0.2449665529766735,0.08039061168643133,0.06714838965124273,,
24,split_scaffold_heldout,scaffold_heldout,ridge_cell_dose,1801,399,0.23160021281732263,0.21653124014448533,0.08069084770617987,0.06695481442955331,10.0,
24,split_scaffold_heldout,scaffold_heldout,ridge_drug_fp,1801,399,0.13129745042658766,0.10196581429750513,0.08690464818700588,0.07281825737080484,10.0,1024.0
24,split_scaffold_heldout,scaffold_heldout,ridge_cell_dose_drug_fp,1801,399,0.19177157520894605,0.16699117687818815,0.08617931740501696,0.07317706598933917,10.0,1024.0
24,split_cell_scaffold_heldout,cell_scaffold_heldout,global_train_mean,1191,134,0.10355558820364583,0.090161913882339,0.07818382286676426,0.05934110924025464,,
24,split_cell_scaffold_heldout,cell_scaffold_heldout,cell_context_mean,1191,134,0.10355558820364583,0.090161913882339,0.07818382286676426,0.05934110924025464,,
24,split_cell_scaffold_heldout,cell_scaffold_heldout,drug_mean,1191,134,0.10355558820364583,0.090161913882339,0.07818382286676426,0.05934110924025464,,
24,split_cell_scaffold_heldout,cell_scaffold_heldout,cell_dose_mean,1191,134,0.10355558820364583,0.090161913882339,0.07818382286676426,0.05934110924025464,,
24,split_cell_scaffold_heldout,cell_scaffold_heldout,ridge_cell_dose,1191,134,0.10335875759761172,0.09239119500506368,0.0781686809264082,0.05889124840986157,10.0,
24,split_cell_scaffold_heldout,cell_scaffold_heldout,ridge_drug_fp,1191,134,0.08086711854742255,0.055836387151311645,0.08544460051014724,0.06803936862351037,10.0,1024.0
24,split_cell_scaffold_heldout,cell_scaffold_heldout,ridge_cell_dose_drug_fp,1191,134,0.08702336566093816,0.0673112587464938,0.08544923171761527,0.06741822133050426,10.0,1024.0
