seed,split,baseline,sample_id,rowwise_pearson,rmse
24,split_random,global_train_mean,2-Methoxyestradiol (2-MeOE2)__MCF7__10nM__24h,-0.04785098525323435,0.05201945300341162
24,split_random,global_train_mean,(+)-JQ1__A549__1000nM__24h,0.36873611533808737,0.1451418469624518
24,split_random,global_train_mean,(+)-JQ1__K562__100nM__24h,0.2953126517420055,0.10767940552913961
24,split_random,global_train_mean,(+)-JQ1__MCF7__10nM__24h,0.10072397386615568,0.05831645644349356
24,split_random,global_train_mean,A-366__A549__100nM__24h,0.19828208644784684,0.06012075256405462
24,split_random,global_train_mean,A-366__K562__10nM__24h,0.08368870740319723,0.056545262829513686
24,split_random,global_train_mean,ABT-737__A549__100nM__24h,-0.11772217854829868,0.07042033361470282
24,split_random,global_train_mean,ABT-737__A549__10000nM__24h,-0.022831784469813352,0.11771976538698808
24,split_random,global_train_mean,ABT-737__K562__100nM__24h,-0.04570167348288803,0.0644581645892273
24,split_random,global_train_mean,AC480 (BMS-599626)__A549__10000nM__24h,0.23176771949828842,0.10292031111544503
24,split_random,global_train_mean,AC480 (BMS-599626)__K562__10nM__24h,-0.0013309708990514287,0.06226656273838445
24,split_random,global_train_mean,AG-14361__A549__10nM__24h,0.19875483818033718,0.056860844780460246
24,split_random,global_train_mean,AG-14361__A549__10000nM__24h,0.23667831544803347,0.08775519042472743
24,split_random,global_train_mean,AICAR (Acadesine)__A549__1000nM__24h,-0.010781472610713811,0.07516476651901806
24,split_random,global_train_mean,AICAR (Acadesine)__A549__10000nM__24h,0.034836820841100895,0.060813279278302754
24,split_random,global_train_mean,AICAR (Acadesine)__MCF7__10nM__24h,-0.03520297590485581,0.04767642608729465
24,split_random,global_train_mean,AMG-900__K562__1000nM__24h,0.23756485026427318,0.09532113551285375
24,split_random,global_train_mean,AR-42__K562__10000nM__24h,0.4437954217034949,0.23287460909777719
24,split_random,global_train_mean,AT9283__K562__10nM__24h,0.11758944859352977,0.09423351044798287
24,split_random,global_train_mean,AZ 960__A549__100nM__24h,0.22851421738010189,0.060807099956677345
24,split_random,global_train_mean,AZ 960__K562__10nM__24h,0.14986216783338036,0.058680723258908836
24,split_random,global_train_mean,AZ 960__K562__100nM__24h,0.13768210229162686,0.07140151326656008
24,split_random,global_train_mean,AZ 960__MCF7__100nM__24h,0.23181704434254638,0.051252734050706454
24,split_random,global_train_mean,AZD1480__A549__10nM__24h,0.22437389154531315,0.06156229655749974
24,split_random,global_train_mean,AZD1480__K562__100nM__24h,-0.014070808602404802,0.06425069865074273
24,split_random,global_train_mean,AZD1480__K562__1000nM__24h,0.11300710238702592,0.06398327524870923
24,split_random,global_train_mean,AZD1480__K562__10000nM__24h,0.09227839788607027,0.1114214888364555
24,split_random,global_train_mean,AZD1480__MCF7__100nM__24h,0.3151912499477813,0.04617557533597015
24,split_random,global_train_mean,Abexinostat (PCI-24781)__MCF7__10nM__24h,0.4129570285138046,0.14448657060316292
