seed,split,n_train,n_test,n_excluded,same_drug_in_train,same_scaffold_in_train,same_cell_in_train,same_drug_cell_in_train
1,split_random,1767,433,0,1.0,0.9699769053117783,1.0,0.9930715935334873
1,split_cell_heldout,1463,737,0,1.0,0.9674355495251018,0.0,0.0
1,split_scaffold_heldout,1766,434,0,0.0,0.0,1.0,0.0
1,split_cell_scaffold_heldout,1173,144,883,0.0,0.0,0.0,0.0
2,split_random,1742,458,0,1.0,0.9694323144104804,1.0,1.0
2,split_cell_heldout,1481,719,0,0.9944367176634215,0.96105702364395,0.0,0.0
2,split_scaffold_heldout,1818,382,0,0.0,0.0,1.0,0.0
2,split_cell_scaffold_heldout,1226,127,847,0.0,0.0,0.0,0.0
3,split_random,1729,471,0,1.0,0.9681528662420382,1.0,0.9957537154989384
3,split_cell_heldout,1481,719,0,0.9944367176634215,0.96105702364395,0.0,0.0
3,split_scaffold_heldout,1702,498,0,0.0,0.0,1.0,0.0
3,split_cell_scaffold_heldout,1145,162,893,0.0,0.0,0.0,0.0
4,split_random,1766,434,0,1.0,0.9654377880184332,1.0,0.9953917050691244
4,split_cell_heldout,1463,737,0,1.0,0.9674355495251018,0.0,0.0
4,split_scaffold_heldout,1772,428,0,0.0,0.0,1.0,0.0
4,split_cell_scaffold_heldout,1177,142,881,0.0,0.0,0.0,0.0
5,split_random,1745,455,0,1.0,0.9714285714285714,1.0,0.9824175824175824
5,split_cell_heldout,1463,737,0,1.0,0.9674355495251018,0.0,0.0
5,split_scaffold_heldout,1809,391,0,0.0,0.0,1.0,0.0
5,split_cell_scaffold_heldout,1203,131,866,0.0,0.0,0.0,0.0
6,split_random,1779,421,0,1.0,0.9619952494061758,1.0,1.0
6,split_cell_heldout,1456,744,0,1.0,0.967741935483871,0.0,0.0
6,split_scaffold_heldout,1814,386,0,0.0,0.0,1.0,0.0
6,split_cell_scaffold_heldout,1199,129,872,0.0,0.0,0.0,0.0
7,split_random,1766,434,0,1.0,0.9631336405529954,1.0,0.9953917050691244
7,split_cell_heldout,1456,744,0,1.0,0.967741935483871,0.0,0.0
7,split_scaffold_heldout,1754,446,0,0.0,0.0,1.0,0.0
7,split_cell_scaffold_heldout,1161,151,888,0.0,0.0,0.0,0.0
8,split_random,1796,404,0,1.0,0.9554455445544554,1.0,0.9826732673267327
8,split_cell_heldout,1481,719,0,0.9944367176634215,0.96105702364395,0.0,0.0
8,split_scaffold_heldout,1781,419,0,0.0,0.0,1.0,0.0
8,split_cell_scaffold_heldout,1196,134,870,0.0,0.0,0.0,0.0
9,split_random,1793,407,0,1.0,0.9606879606879607,1.0,0.9901719901719902
9,split_cell_heldout,1463,737,0,1.0,0.9674355495251018,0.0,0.0
9,split_scaffold_heldout,1779,421,0,0.0,0.0,1.0,0.0
9,split_cell_scaffold_heldout,1186,144,870,0.0,0.0,0.0,0.0
10,split_random,1755,445,0,1.0,0.9797752808988764,1.0,1.0
10,split_cell_heldout,1481,719,0,0.9944367176634215,0.96105702364395,0.0,0.0
10,split_scaffold_heldout,1810,390,0,0.0,0.0,1.0,0.0
10,split_cell_scaffold_heldout,1219,128,853,0.0,0.0,0.0,0.0
11,split_random,1750,450,0,1.0,0.9777777777777777,1.0,0.9888888888888889
11,split_cell_heldout,1463,737,0,1.0,0.9674355495251018,0.0,0.0
11,split_scaffold_heldout,1788,412,0,0.0,0.0,1.0,0.0
11,split_cell_scaffold_heldout,1190,139,871,0.0,0.0,0.0,0.0
12,split_random,1760,440,0,1.0,0.9659090909090909,1.0,0.9931818181818182
12,split_cell_heldout,1481,719,0,0.9944367176634215,0.96105702364395,0.0,0.0
12,split_scaffold_heldout,1779,421,0,0.0,0.0,1.0,0.0
12,split_cell_scaffold_heldout,1196,136,868,0.0,0.0,0.0,0.0
13,split_random,1761,439,0,1.0,0.9703872437357631,1.0,0.9908883826879271
13,split_cell_heldout,1463,737,0,1.0,0.9674355495251018,0.0,0.0
13,split_scaffold_heldout,1760,440,0,0.0,0.0,1.0,0.0
13,split_cell_scaffold_heldout,1170,147,883,0.0,0.0,0.0,0.0
14,split_random,1743,457,0,1.0,0.9781181619256017,1.0,0.986870897155361
14,split_cell_heldout,1456,744,0,1.0,0.967741935483871,0.0,0.0
14,split_scaffold_heldout,1679,521,0,0.0,0.0,1.0,0.0
14,split_cell_scaffold_heldout,1111,176,913,0.0,0.0,0.0,0.0
15,split_random,1771,429,0,1.0,0.9603729603729604,1.0,0.986013986013986
15,split_cell_heldout,1481,719,0,0.9944367176634215,0.96105702364395,0.0,0.0
15,split_scaffold_heldout,1716,484,0,0.0,0.0,1.0,0.0
15,split_cell_scaffold_heldout,1153,156,891,0.0,0.0,0.0,0.0
16,split_random,1764,436,0,1.0,0.9701834862385321,1.0,1.0
16,split_cell_heldout,1481,719,0,0.9944367176634215,0.96105702364395,0.0,0.0
16,split_scaffold_heldout,1786,414,0,0.0,0.0,1.0,0.0
16,split_cell_scaffold_heldout,1204,137,859,0.0,0.0,0.0,0.0
17,split_random,1759,441,0,1.0,0.9523809523809523,1.0,0.9863945578231292
17,split_cell_heldout,1481,719,0,0.9944367176634215,0.96105702364395,0.0,0.0
17,split_scaffold_heldout,1767,433,0,0.0,0.0,1.0,0.0
17,split_cell_scaffold_heldout,1188,140,872,0.0,0.0,0.0,0.0
18,split_random,1750,450,0,1.0,0.9622222222222222,1.0,0.9822222222222222
18,split_cell_heldout,1463,737,0,1.0,0.9674355495251018,0.0,0.0
18,split_scaffold_heldout,1692,508,0,0.0,0.0,1.0,0.0
18,split_cell_scaffold_heldout,1127,172,901,0.0,0.0,0.0,0.0
19,split_random,1750,450,0,1.0,0.9733333333333334,1.0,1.0
19,split_cell_heldout,1463,737,0,1.0,0.9674355495251018,0.0,0.0
19,split_scaffold_heldout,1761,439,0,0.0,0.0,1.0,0.0
19,split_cell_scaffold_heldout,1169,145,886,0.0,0.0,0.0,0.0
20,split_random,1750,450,0,1.0,0.9577777777777777,1.0,0.9888888888888889
20,split_cell_heldout,1463,737,0,1.0,0.9674355495251018,0.0,0.0
20,split_scaffold_heldout,1775,425,0,0.0,0.0,1.0,0.0
20,split_cell_scaffold_heldout,1181,143,876,0.0,0.0,0.0,0.0
21,split_random,1764,436,0,1.0,0.9724770642201835,1.0,0.9908256880733946
21,split_cell_heldout,1456,744,0,1.0,0.967741935483871,0.0,0.0
21,split_scaffold_heldout,1797,403,0,0.0,0.0,1.0,0.0
21,split_cell_scaffold_heldout,1191,138,871,0.0,0.0,0.0,0.0
22,split_random,1744,456,0,1.0,0.9539473684210527,1.0,0.9868421052631579
22,split_cell_heldout,1481,719,0,0.9944367176634215,0.96105702364395,0.0,0.0
22,split_scaffold_heldout,1763,437,0,0.0,0.0,1.0,0.0
22,split_cell_scaffold_heldout,1187,143,870,0.0,0.0,0.0,0.0
23,split_random,1783,417,0,1.0,0.9592326139088729,1.0,0.9592326139088729
23,split_cell_heldout,1463,737,0,1.0,0.9674355495251018,0.0,0.0
23,split_scaffold_heldout,1790,410,0,0.0,0.0,1.0,0.0
23,split_cell_scaffold_heldout,1189,136,875,0.0,0.0,0.0,0.0
24,split_random,1763,437,0,1.0,0.9816933638443935,1.0,0.9816933638443935
24,split_cell_heldout,1456,744,0,1.0,0.967741935483871,0.0,0.0
24,split_scaffold_heldout,1801,399,0,0.0,0.0,1.0,0.0
24,split_cell_scaffold_heldout,1191,134,875,0.0,0.0,0.0,0.0
25,split_random,1751,449,0,1.0,0.9643652561247216,1.0,0.9910913140311804
25,split_cell_heldout,1481,719,0,0.9944367176634215,0.96105702364395,0.0,0.0
25,split_scaffold_heldout,1799,401,0,0.0,0.0,1.0,0.0
25,split_cell_scaffold_heldout,1212,132,856,0.0,0.0,0.0,0.0
26,split_random,1769,431,0,1.0,0.9651972157772621,1.0,1.0
26,split_cell_heldout,1456,744,0,1.0,0.967741935483871,0.0,0.0
26,split_scaffold_heldout,1786,414,0,0.0,0.0,1.0,0.0
26,split_cell_scaffold_heldout,1181,139,880,0.0,0.0,0.0,0.0
27,split_random,1760,440,0,1.0,0.9568181818181818,1.0,1.0
27,split_cell_heldout,1481,719,0,0.9944367176634215,0.96105702364395,0.0,0.0
27,split_scaffold_heldout,1802,398,0,0.0,0.0,1.0,0.0
27,split_cell_scaffold_heldout,1214,131,855,0.0,0.0,0.0,0.0
28,split_random,1767,433,0,1.0,0.9676674364896074,1.0,0.9976905311778291
28,split_cell_heldout,1481,719,0,0.9944367176634215,0.96105702364395,0.0,0.0
28,split_scaffold_heldout,1796,404,0,0.0,0.0,1.0,0.0
28,split_cell_scaffold_heldout,1214,137,849,0.0,0.0,0.0,0.0
29,split_random,1794,406,0,1.0,0.9679802955665024,1.0,0.9802955665024631
29,split_cell_heldout,1463,737,0,1.0,0.9674355495251018,0.0,0.0
29,split_scaffold_heldout,1781,419,0,0.0,0.0,1.0,0.0
29,split_cell_scaffold_heldout,1184,140,876,0.0,0.0,0.0,0.0
30,split_random,1785,415,0,1.0,0.9734939759036144,1.0,1.0
30,split_cell_heldout,1463,737,0,1.0,0.9674355495251018,0.0,0.0
30,split_scaffold_heldout,1765,435,0,0.0,0.0,1.0,0.0
30,split_cell_scaffold_heldout,1173,145,882,0.0,0.0,0.0,0.0
