split,baseline,n_seeds,mean_n_test,mean_rowwise_pearson,sd_rowwise_pearson,mean_rmse,sd_rmse
split_cell_heldout,cell_context_mean,30,731.2,0.07635369225966877,0.021650059713556744,0.08608814553372184,0.005120770284635257
split_cell_heldout,cell_dose_mean,30,731.2,0.07635369225966877,0.021650059713556744,0.08608814553372184,0.005120770284635257
split_cell_heldout,drug_mean,30,731.2,0.1346002064699959,0.028020387074763762,0.08979321021381141,0.00399158617069321
split_cell_heldout,global_train_mean,30,731.2,0.07635369225966877,0.021650059713556744,0.08608814553372184,0.005120770284635257
split_cell_heldout,ridge_cell_dose,30,731.2,0.07196156740164228,0.024304762153837825,0.08642237008096341,0.005001848951147407
split_cell_heldout,ridge_cell_dose_drug_fp,30,731.2,0.13263069041016032,0.03056596486316393,0.08933643463731536,0.004085286892851272
split_cell_heldout,ridge_drug_fp,30,731.2,0.13491580851517634,0.02901121713240924,0.08899560750335336,0.004062276712780952
split_cell_scaffold_heldout,cell_context_mean,30,141.93333333333334,0.0755333673474889,0.025554465019439313,0.08614070448406921,0.00764552798352548
split_cell_scaffold_heldout,cell_dose_mean,30,141.93333333333334,0.0755333673474889,0.025554465019439313,0.08614070448406921,0.00764552798352548
split_cell_scaffold_heldout,drug_mean,30,141.93333333333334,0.0755333673474889,0.025554465019439313,0.08614070448406921,0.00764552798352548
split_cell_scaffold_heldout,global_train_mean,30,141.93333333333334,0.0755333673474889,0.025554465019439313,0.08614070448406921,0.00764552798352548
split_cell_scaffold_heldout,ridge_cell_dose,30,141.93333333333334,0.0709431868209175,0.02752935173708734,0.08644976350564297,0.007557572235144801
split_cell_scaffold_heldout,ridge_cell_dose_drug_fp,30,141.93333333333334,0.059676572970595185,0.0246187653134774,0.0926259464983692,0.006727916973260204
split_cell_scaffold_heldout,ridge_drug_fp,30,141.93333333333334,0.0582223141944604,0.02337473383537392,0.09230462507109882,0.006776178243564863
split_random,cell_context_mean,30,437.46666666666664,0.23167683196021593,0.007428438548654605,0.0832433106226595,0.0026420922238470897
split_random,cell_dose_mean,30,437.46666666666664,0.24763497662889483,0.0077026873816787,0.08307571006307742,0.002519196283229364
split_random,drug_mean,30,437.46666666666664,0.24018450458598747,0.007708776394065616,0.08313439973290865,0.0021891183915321148
split_random,global_train_mean,30,437.46666666666664,0.16234862651552245,0.006700520320408173,0.083862381241416,0.0028088527321122225
split_random,ridge_cell_dose,30,437.46666666666664,0.23072992964376576,0.007869209908504069,0.08316542467731709,0.002584189477390102
split_random,ridge_cell_dose_drug_fp,30,437.46666666666664,0.29155788489417594,0.007744136479647918,0.08137207801449746,0.0020179079187899987
split_random,ridge_drug_fp,30,437.46666666666664,0.24311705585801882,0.007807280732916189,0.08245357637491266,0.002217369275750138
split_scaffold_heldout,cell_context_mean,30,427.06666666666666,0.22953304539648134,0.020170055777474796,0.08337135832971544,0.006382805059318379
split_scaffold_heldout,cell_dose_mean,30,427.06666666666666,0.24994885214240575,0.0180661562923631,0.08293830029423299,0.006287459184255054
split_scaffold_heldout,drug_mean,30,427.06666666666666,0.16044657453319744,0.018222205508093215,0.08398495949724159,0.006679217650928973
split_scaffold_heldout,global_train_mean,30,427.06666666666666,0.16044657453319744,0.018222205508093215,0.08398495949724159,0.006679217650928973
split_scaffold_heldout,ridge_cell_dose,30,427.06666666666666,0.22892896913369293,0.019853516026904508,0.08323078023550316,0.006327380721568887
split_scaffold_heldout,ridge_cell_dose_drug_fp,30,427.06666666666666,0.18851298242043651,0.01943388655032744,0.08748039205618059,0.005519656436161506
split_scaffold_heldout,ridge_drug_fp,30,427.06666666666666,0.12635848490560098,0.018273215030790903,0.08830712414514509,0.005874754027030472
