seed,split,baseline,sample_id,rowwise_pearson,rmse
7,split_random,global_train_mean,Aurora A Inhibitor I__K562__100nM__24h,-0.014597336083308059,0.060473250522837384
7,split_random,global_train_mean,Aurora A Inhibitor I__K562__1000nM__24h,0.05951742311996456,0.061557510755812075
7,split_random,global_train_mean,Aurora A Inhibitor I__K562__10000nM__24h,0.0728336745359434,0.08277303436168378
7,split_random,global_train_mean,Aurora A Inhibitor I__MCF7__10nM__24h,-0.03683326615324143,0.04728055167927274
7,split_random,global_train_mean,Avagacestat (BMS-708163)__A549__1000nM__24h,-0.11069659960351076,0.07251899814609
7,split_random,global_train_mean,Avagacestat (BMS-708163)__K562__10000nM__24h,0.14494541344091397,0.06392467290696326
7,split_random,global_train_mean,Azacitidine __A549__100nM__24h,0.13150882230796526,0.0745467667427402
7,split_random,global_train_mean,Azacitidine __K562__10nM__24h,0.12240258473441598,0.06466600854920704
7,split_random,global_train_mean,Azacitidine __MCF7__100nM__24h,0.1269910883322872,0.05865593444917526
7,split_random,global_train_mean,Azacitidine __MCF7__1000nM__24h,0.06316336409134748,0.05182234815596038
7,split_random,global_train_mean,BMS-265246__MCF7__10nM__24h,0.07013118790860007,0.059110092061265426
7,split_random,global_train_mean,BMS-536924__A549__10000nM__24h,0.3729907425500576,0.1400723896686723
7,split_random,global_train_mean,BMS-754807__A549__100nM__24h,0.18290088830632967,0.07523600768051489
7,split_random,global_train_mean,BMS-754807__K562__10nM__24h,0.11495542109519649,0.060477187415930056
7,split_random,global_train_mean,BMS-754807__MCF7__10nM__24h,0.3019134214116425,0.06043441510011964
7,split_random,global_train_mean,BMS-754807__MCF7__100nM__24h,0.2932567363629371,0.0668310011485998
7,split_random,global_train_mean,BMS-754807__MCF7__10000nM__24h,0.3663847156545201,0.128892776543735
7,split_random,global_train_mean,BMS-911543__A549__10nM__24h,-0.016967720299975498,0.07387319390374125
7,split_random,global_train_mean,BMS-911543__K562__10nM__24h,0.10961280350555445,0.0594614755176867
7,split_random,global_train_mean,BMS-911543__MCF7__10nM__24h,0.12415640686209065,0.0452643026183777
7,split_random,global_train_mean,BMS-911543__MCF7__1000nM__24h,-0.050474402165237006,0.052914380308125196
7,split_random,global_train_mean,BRD4770__A549__10000nM__24h,0.2874005123163096,0.059889875222046626
7,split_random,global_train_mean,BRD4770__MCF7__1000nM__24h,0.10272430499703966,0.04752595116515016
7,split_random,global_train_mean,BRD4770__MCF7__10000nM__24h,0.16630337221313296,0.044744135053907626
7,split_random,global_train_mean,Barasertib (AZD1152-HQPA)__A549__100nM__24h,0.45932272002484714,0.12780977593961704
7,split_random,global_train_mean,Barasertib (AZD1152-HQPA)__A549__1000nM__24h,0.48715307503579,0.12645866892625404
7,split_random,global_train_mean,Barasertib (AZD1152-HQPA)__K562__100nM__24h,-0.0031557444857298078,0.12631653906353968
7,split_random,global_train_mean,"Baricitinib (LY3009104, INCB028050)__K562__10nM__24h",0.07778228087472402,0.0632721435740498
7,split_random,global_train_mean,"Baricitinib (LY3009104, INCB028050)__K562__100nM__24h",0.1429758757754518,0.05849275356347488
7,split_random,global_train_mean,"Baricitinib (LY3009104, INCB028050)__K562__1000nM__24h",0.11983405176678492,0.05760299402848174
7,split_random,global_train_mean,Belinostat (PXD101)__A549__10000nM__24h,0.4602975028873202,0.33498917598225875
7,split_random,global_train_mean,Belinostat (PXD101)__K562__1000nM__24h,0.4935223549374941,0.1443836836166855
7,split_random,global_train_mean,Bisindolylmaleimide IX (Ro 31-8220 Mesylate)__MCF7__100nM__24h,0.13211860799271433,0.05398357733271775
7,split_random,global_train_mean,Bosutinib (SKI-606)__A549__10nM__24h,-0.03278734484675982,0.06382987793547945
7,split_random,global_train_mean,Bosutinib (SKI-606)__K562__100nM__24h,0.20230163072077437,0.14865747948305283
7,split_random,global_train_mean,Bosutinib (SKI-606)__MCF7__10nM__24h,0.09963168178912152,0.05418546576577593
7,split_random,global_train_mean,CEP-33779__A549__1000nM__24h,0.11102192299053668,0.07038204653946632
7,split_random,global_train_mean,CEP-33779__K562__10nM__24h,0.20488542699070356,0.05660261299843151
7,split_random,global_train_mean,CEP-33779__MCF7__10000nM__24h,0.29843091783301784,0.06477196382889892
7,split_random,global_train_mean,CUDC-101__A549__10000nM__24h,0.5906568939577909,0.2342096174125387
7,split_random,global_train_mean,CUDC-101__MCF7__10nM__24h,0.22179490735553434,0.04792403319466938
7,split_random,global_train_mean,CUDC-101__MCF7__10000nM__24h,0.5533064525525611,0.191584815490995
7,split_random,global_train_mean,CUDC-907__A549__100nM__24h,0.4897909986169674,0.17117757492824232
7,split_random,global_train_mean,Capecitabine __K562__100nM__24h,0.17282770089412197,0.06977039900716019
7,split_random,global_train_mean,Carmofur__A549__1000nM__24h,0.1401564198143323,0.08764370354674283
7,split_random,global_train_mean,Cediranib (AZD2171)__K562__1000nM__24h,0.1567915119386773,0.06296937038003891
7,split_random,global_train_mean,Cediranib (AZD2171)__MCF7__1000nM__24h,0.24498046327899417,0.0636023165818483
7,split_random,global_train_mean,Celecoxib__MCF7__10000nM__24h,-0.03251044147325874,0.056779784297749915
7,split_random,global_train_mean,"Cerdulatinib (PRT062070, PRT2070)__A549__10000nM__24h",0.321824794743483,0.18476079816669344
7,split_random,global_train_mean,Cimetidine __K562__1000nM__24h,0.11041455054201217,0.06235264664263582
7,split_random,global_train_mean,Cimetidine __MCF7__1000nM__24h,0.1684919708491008,0.05108090688562775
7,split_random,global_train_mean,Cimetidine __MCF7__10000nM__24h,0.04739673685364802,0.06483234678064914
7,split_random,global_train_mean,Costunolide__A549__10nM__24h,0.11924808775076848,0.06026214865561181
7,split_random,global_train_mean,Costunolide__A549__10000nM__24h,0.03207716191683233,0.06115563991645307
7,split_random,global_train_mean,Costunolide__K562__10nM__24h,0.17762352027699388,0.07060558234634405
7,split_random,global_train_mean,Costunolide__K562__100nM__24h,0.11026716725115729,0.06346473899046629
7,split_random,global_train_mean,Costunolide__MCF7__10nM__24h,0.044201891315283355,0.04547484679238557
7,split_random,global_train_mean,Costunolide__MCF7__100nM__24h,0.12383567312578396,0.049945622842856044
7,split_random,global_train_mean,Costunolide__MCF7__1000nM__24h,0.12234454245916271,0.051361055579459816
7,split_random,global_train_mean,Crizotinib (PF-02341066)__A549__10nM__24h,-0.026101878905377674,0.06476941697076127
7,split_random,global_train_mean,Crizotinib (PF-02341066)__A549__1000nM__24h,0.3266835125690593,0.08227981637796823
7,split_random,global_train_mean,Crizotinib (PF-02341066)__K562__100nM__24h,0.08334358221884691,0.06822569244618581
7,split_random,global_train_mean,Crizotinib (PF-02341066)__MCF7__1000nM__24h,0.07928402481682961,0.0609845500362348
7,split_random,global_train_mean,Curcumin__A549__1000nM__24h,0.1541080963076273,0.0665163356331395
7,split_random,global_train_mean,Curcumin__MCF7__100nM__24h,0.04116429555273224,0.047462631048038335
7,split_random,global_train_mean,Curcumin__MCF7__10000nM__24h,-0.0423485197824647,0.052949394845779194
7,split_random,global_train_mean,Cyclocytidine HCl__MCF7__10000nM__24h,0.07951602566793038,0.07939398650033724
7,split_random,global_train_mean,Dacinostat (LAQ824)__K562__1000nM__24h,0.44107661223215366,0.24990333311241383
7,split_random,global_train_mean,Dacinostat (LAQ824)__MCF7__10nM__24h,0.4571906577504689,0.20585405237823046
7,split_random,global_train_mean,Dacinostat (LAQ824)__MCF7__100nM__24h,0.5236906272054699,0.2609667035918418
7,split_random,global_train_mean,Danusertib (PHA-739358)__K562__1000nM__24h,0.18809133702983724,0.14343901927030295
7,split_random,global_train_mean,Danusertib (PHA-739358)__MCF7__100nM__24h,0.4123879535487896,0.06198920006564639
7,split_random,global_train_mean,Daphnetin__K562__100nM__24h,-0.019461602359201514,0.06497683370600611
7,split_random,global_train_mean,Daphnetin__K562__10000nM__24h,0.16385069207692943,0.07039162720311598
7,split_random,global_train_mean,Daphnetin__MCF7__100nM__24h,0.23077502806736475,0.049106765843940886
7,split_random,global_train_mean,Dasatinib__A549__10nM__24h,0.12291162202793934,0.07622067215176641
7,split_random,global_train_mean,Decitabine__K562__10nM__24h,0.054684140193446855,0.07020552746914693
