seed,split,baseline,sample_id,rowwise_pearson,rmse
22,split_random,global_train_mean,2-Methoxyestradiol (2-MeOE2)__A549__100nM__24h,0.20248249539536214,0.07183417228756454
22,split_random,global_train_mean,2-Methoxyestradiol (2-MeOE2)__A549__1000nM__24h,0.20690396921153295,0.06973822022046514
22,split_random,global_train_mean,2-Methoxyestradiol (2-MeOE2)__MCF7__100nM__24h,-0.007007623559495369,0.06157375593094619
22,split_random,global_train_mean,(+)-JQ1__A549__10nM__24h,0.22517079308324958,0.06804011161075432
22,split_random,global_train_mean,(+)-JQ1__K562__1000nM__24h,0.35409556790996277,0.14110060906666874
22,split_random,global_train_mean,(+)-JQ1__MCF7__1000nM__24h,0.46621690357665685,0.23964136449990692
22,split_random,global_train_mean,(+)-JQ1__MCF7__10000nM__24h,0.4639585323270231,0.26185698614571784
22,split_random,global_train_mean,A-366__MCF7__100nM__24h,0.07802161567498939,0.05224756620097728
22,split_random,global_train_mean,ABT-737__A549__1000nM__24h,0.024048346060390635,0.07024666314189963
22,split_random,global_train_mean,ABT-737__A549__10000nM__24h,-0.023218817945431403,0.1171369234987053
22,split_random,global_train_mean,ABT-737__K562__1000nM__24h,0.06741709560924954,0.0649916051450422
22,split_random,global_train_mean,AG-490 (Tyrphostin B42)__A549__10000nM__24h,0.21349774438145133,0.06388887372749917
22,split_random,global_train_mean,AG-490 (Tyrphostin B42)__MCF7__10000nM__24h,0.15655822363304675,0.04794940478598199
22,split_random,global_train_mean,AICAR (Acadesine)__A549__1000nM__24h,0.01790004597659968,0.07423319949459105
22,split_random,global_train_mean,AICAR (Acadesine)__K562__10000nM__24h,0.07210966111150319,0.056746750928993256
22,split_random,global_train_mean,AICAR (Acadesine)__MCF7__100nM__24h,0.13917562029052202,0.04157989422918565
22,split_random,global_train_mean,AMG-900__A549__10nM__24h,0.4540968240939722,0.1450129977998048
22,split_random,global_train_mean,AMG-900__K562__100nM__24h,0.028374317594907505,0.10884963080040332
22,split_random,global_train_mean,AR-42__A549__1000nM__24h,0.5597118097729127,0.2493643892183077
22,split_random,global_train_mean,AR-42__A549__10000nM__24h,0.40391968662074623,0.3618825680598896
22,split_random,global_train_mean,AR-42__MCF7__10000nM__24h,0.39741710727121776,0.40846692082617003
22,split_random,global_train_mean,AT9283__A549__1000nM__24h,0.31893446624191546,0.1137493223578106
