seed,split,split_label,baseline,n_train,n_test,mean_rowwise_pearson,median_rowwise_pearson,mean_rmse,median_rmse,alpha,n_bits
3,split_random,random,global_train_mean,1729,471,0.16096320211505175,0.13329430904123943,0.08160041141851183,0.06431464460771881,,
3,split_random,random,cell_context_mean,1729,471,0.22982436996859107,0.20238395338040263,0.08102222498295143,0.06402765082652367,,
3,split_random,random,drug_mean,1729,471,0.23880853328644935,0.2080578370127957,0.08121368179097099,0.06766795362360521,,
3,split_random,random,cell_dose_mean,1729,471,0.24335867500579283,0.22789133748177887,0.08179568793106919,0.0664663995052641,,
3,split_random,random,ridge_cell_dose,1729,471,0.2264664699970658,0.19742588970478625,0.08131342180041366,0.0651946118713982,10.0,
3,split_random,random,ridge_drug_fp,1729,471,0.24063952385815174,0.20850152709507594,0.08041941407437628,0.06656349699145911,10.0,1024.0
3,split_random,random,ridge_cell_dose_drug_fp,1729,471,0.2873079313932848,0.2478343003499448,0.07962406526043062,0.0671927531725658,10.0,1024.0
3,split_cell_heldout,cell_heldout,global_train_mean,1481,719,0.05083405159924541,0.037065189765063705,0.08206485752711959,0.06705002902621064,,
3,split_cell_heldout,cell_heldout,cell_context_mean,1481,719,0.05083405159924541,0.037065189765063705,0.08206485752711959,0.06705002902621064,,
3,split_cell_heldout,cell_heldout,drug_mean,1481,719,0.10190414181444919,0.08841927720692735,0.08771230731469451,0.07188100130721489,,
3,split_cell_heldout,cell_heldout,cell_dose_mean,1481,719,0.05083405159924541,0.037065189765063705,0.08206485752711959,0.06705002902621064,,
3,split_cell_heldout,cell_heldout,ridge_cell_dose,1481,719,0.043421676365373654,0.03104734425928927,0.08268071117496488,0.0681838388041165,10.0,
3,split_cell_heldout,cell_heldout,ridge_drug_fp,1481,719,0.10094883192315401,0.08474280767086328,0.08686794269147144,0.07101575986819839,10.0,1024.0
3,split_cell_heldout,cell_heldout,ridge_cell_dose_drug_fp,1481,719,0.09716253706120354,0.0776014453294125,0.08734978207395894,0.07197951587577449,10.0,1024.0
3,split_scaffold_heldout,scaffold_heldout,global_train_mean,1702,498,0.1830086701399098,0.15030480916086855,0.09148045216360143,0.06676057397052551,,
3,split_scaffold_heldout,scaffold_heldout,cell_context_mean,1702,498,0.2548284591195567,0.22216272541807794,0.09045872472005541,0.06633295300611289,,
3,split_scaffold_heldout,scaffold_heldout,drug_mean,1702,498,0.1830086701399098,0.15030480916086855,0.09148045216360143,0.06676057397052551,,
3,split_scaffold_heldout,scaffold_heldout,cell_dose_mean,1702,498,0.271160554845232,0.24625552272461804,0.08997729691025676,0.0668671875377076,,
3,split_scaffold_heldout,scaffold_heldout,ridge_cell_dose,1702,498,0.2546759305758542,0.2198628332015934,0.09024215270524294,0.06647575281423096,10.0,
3,split_scaffold_heldout,scaffold_heldout,ridge_drug_fp,1702,498,0.14248526453415433,0.10314630612015614,0.09477161541977176,0.07467325687808132,10.0,1024.0
3,split_scaffold_heldout,scaffold_heldout,ridge_cell_dose_drug_fp,1702,498,0.20669470102833953,0.17227261624902385,0.09341286427064938,0.07406043747000671,10.0,1024.0
3,split_cell_scaffold_heldout,cell_scaffold_heldout,global_train_mean,1145,162,0.04702315633851144,0.03245236637696548,0.08716035435230277,0.06811702694331168,,
3,split_cell_scaffold_heldout,cell_scaffold_heldout,cell_context_mean,1145,162,0.04702315633851144,0.03245236637696548,0.08716035435230277,0.06811702694331168,,
3,split_cell_scaffold_heldout,cell_scaffold_heldout,drug_mean,1145,162,0.04702315633851144,0.03245236637696548,0.08716035435230277,0.06811702694331168,,
3,split_cell_scaffold_heldout,cell_scaffold_heldout,cell_dose_mean,1145,162,0.04702315633851144,0.03245236637696548,0.08716035435230277,0.06811702694331168,,
3,split_cell_scaffold_heldout,cell_scaffold_heldout,ridge_cell_dose,1145,162,0.03881408074979377,0.024417646993913043,0.08749915110446346,0.06870575789863761,10.0,
3,split_cell_scaffold_heldout,cell_scaffold_heldout,ridge_drug_fp,1145,162,0.030273343008586875,0.0244064602320129,0.09408535759729776,0.07956096927633358,10.0,1024.0
3,split_cell_scaffold_heldout,cell_scaffold_heldout,ridge_cell_dose_drug_fp,1145,162,0.03218550937832494,0.024763186965573232,0.09430575025225985,0.07916871934285297,10.0,1024.0
