Dataset,Split,Model family,Seeds,Main result
OpenProblems,Random,ridge cell+drug FP,100,all-gene Pearson 0.362; DE-gene Pearson 0.568
OpenProblems,Scaffold held-out,ridge cell+drug FP,100,all-gene Pearson 0.234; DE-gene Pearson 0.392
OpenProblems,Joint held-out,ridge cell+drug FP,100,all-gene Pearson 0.118; DE-gene Pearson 0.209
OpenProblems,MoA-held-out,ridge cell+drug FP,100,all-gene Pearson 0.212; DE-gene Pearson 0.363
Sci-Plex 3,Random,ridge cell+dose+drug FP,30,all-gene Pearson 0.292
Sci-Plex 3,Scaffold held-out,ridge cell+dose+drug FP,30,all-gene Pearson 0.189
Sci-Plex 3,Joint held-out,ridge cell+dose+drug FP,30,all-gene Pearson 0.060
Sci-Plex 3,Random,TranSiGen-style pseudobulk,30,all-gene Pearson 0.233
Sci-Plex 3,Scaffold held-out,TranSiGen-style pseudobulk,30,all-gene Pearson 0.212
Sci-Plex 3,Joint held-out,TranSiGen-style pseudobulk,30,all-gene Pearson 0.017
Sci-Plex 3,Random,PRnet-style pseudobulk,30,all-gene Pearson 0.017; bootstrap 95% CI 0.013 to 0.022
Sci-Plex 3,Scaffold held-out,PRnet-style pseudobulk,30,all-gene Pearson 0.015; bootstrap 95% CI 0.012 to 0.018
Sci-Plex 3,Joint held-out,PRnet-style pseudobulk,30,all-gene Pearson 0.001; bootstrap 95% CI -0.013 to 0.014
