sample_id,dataset,drug_id,drug_name,cell_context,cell_type,cell_line,tissue,batch,dose,time,condition,control_sample_id,source_file,source_split,split,control
"NK cells, TIE2 Kinase Inhibitor",openproblems_neurips2023,TIE2 Kinase Inhibitor,TIE2 Kinase Inhibitor,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, TIE2 Kinase Inhibitor",openproblems_neurips2023,TIE2 Kinase Inhibitor,TIE2 Kinase Inhibitor,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, MK-5108",openproblems_neurips2023,MK-5108,MK-5108,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, MK-5108",openproblems_neurips2023,MK-5108,MK-5108,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, MK-5108",openproblems_neurips2023,MK-5108,MK-5108,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, MK-5108",openproblems_neurips2023,MK-5108,MK-5108,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Lapatinib",openproblems_neurips2023,Lapatinib,Lapatinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Lapatinib",openproblems_neurips2023,Lapatinib,Lapatinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Belinostat",openproblems_neurips2023,Belinostat,Belinostat,B cells,B cells,PBMC,blood,de_train:control,not_available_in_de_h5ad,24h,control,,de_train.h5ad,de_train,control,True
"Myeloid cells, Belinostat",openproblems_neurips2023,Belinostat,Belinostat,Myeloid cells,Myeloid cells,PBMC,blood,de_train:control,not_available_in_de_h5ad,24h,control,,de_train.h5ad,de_train,control,True
"NK cells, Belinostat",openproblems_neurips2023,Belinostat,Belinostat,NK cells,NK cells,PBMC,blood,de_train:control,not_available_in_de_h5ad,24h,control,,de_train.h5ad,de_train,control,True
"T cells, Belinostat",openproblems_neurips2023,Belinostat,Belinostat,T cells,T cells,PBMC,blood,de_train:control,not_available_in_de_h5ad,24h,control,,de_train.h5ad,de_train,control,True
"B cells, Dabrafenib",openproblems_neurips2023,Dabrafenib,Dabrafenib,B cells,B cells,PBMC,blood,de_train:control,not_available_in_de_h5ad,24h,control,,de_train.h5ad,de_train,control,True
"Myeloid cells, Dabrafenib",openproblems_neurips2023,Dabrafenib,Dabrafenib,Myeloid cells,Myeloid cells,PBMC,blood,de_train:control,not_available_in_de_h5ad,24h,control,,de_train.h5ad,de_train,control,True
"NK cells, Dabrafenib",openproblems_neurips2023,Dabrafenib,Dabrafenib,NK cells,NK cells,PBMC,blood,de_train:control,not_available_in_de_h5ad,24h,control,,de_train.h5ad,de_train,control,True
"T cells, Dabrafenib",openproblems_neurips2023,Dabrafenib,Dabrafenib,T cells,T cells,PBMC,blood,de_train:control,not_available_in_de_h5ad,24h,control,,de_train.h5ad,de_train,control,True
"NK cells, Atorvastatin",openproblems_neurips2023,Atorvastatin,Atorvastatin,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Atorvastatin",openproblems_neurips2023,Atorvastatin,Atorvastatin,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Ganetespib (STA-9090)",openproblems_neurips2023,Ganetespib (STA-9090),Ganetespib (STA-9090),B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Ganetespib (STA-9090)",openproblems_neurips2023,Ganetespib (STA-9090),Ganetespib (STA-9090),Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Ganetespib (STA-9090)",openproblems_neurips2023,Ganetespib (STA-9090),Ganetespib (STA-9090),NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Ganetespib (STA-9090)",openproblems_neurips2023,Ganetespib (STA-9090),Ganetespib (STA-9090),T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"NK cells, Clomipramine",openproblems_neurips2023,Clomipramine,Clomipramine,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"T cells, Clomipramine",openproblems_neurips2023,Clomipramine,Clomipramine,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
"B cells, Sunitinib",openproblems_neurips2023,Sunitinib,Sunitinib,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"Myeloid cells, Sunitinib",openproblems_neurips2023,Sunitinib,Sunitinib,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False
"NK cells, Sunitinib",openproblems_neurips2023,Sunitinib,Sunitinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False
