seed,split,split_label,baseline,n_train,n_test,mean_rowwise_pearson,median_rowwise_pearson,mean_rmse,median_rmse,alpha,n_bits
6,split_random,random,global_train_mean,1779,421,0.17058475677587856,0.1389132016641113,0.08569929969654864,0.06708294895579038,,
6,split_random,random,cell_context_mean,1779,421,0.23836735319277613,0.21788475171942573,0.08502753747569629,0.0666330992036636,,
6,split_random,random,drug_mean,1779,421,0.25227520148636184,0.21762527472600224,0.08497862705538321,0.06894932060400853,,
6,split_random,random,cell_dose_mean,1779,421,0.25983103037772265,0.24614726842597046,0.08439951213838762,0.06743700732549791,,
6,split_random,random,ridge_cell_dose,1779,421,0.23839669823381213,0.20838026279563734,0.08481471227811946,0.06731124668827192,10.0,
6,split_random,random,ridge_drug_fp,1779,421,0.25549394832069267,0.2213328893616267,0.0843443493188356,0.06855080109062844,10.0,1024.0
6,split_random,random,ridge_cell_dose_drug_fp,1779,421,0.3035133392948558,0.2668205495102849,0.08309562179862548,0.06924958617397707,10.0,1024.0
6,split_cell_heldout,cell_heldout,global_train_mean,1456,744,0.10131094037380377,0.08896578214448153,0.08180447288531892,0.05742139415660051,,
6,split_cell_heldout,cell_heldout,cell_context_mean,1456,744,0.10131094037380377,0.08896578214448153,0.08180447288531892,0.05742139415660051,,
6,split_cell_heldout,cell_heldout,drug_mean,1456,744,0.1688182993990381,0.15138701558491532,0.08472166135117086,0.06228211761406774,,
6,split_cell_heldout,cell_heldout,cell_dose_mean,1456,744,0.10131094037380377,0.08896578214448153,0.08180447288531892,0.05742139415660051,,
6,split_cell_heldout,cell_heldout,ridge_cell_dose,1456,744,0.10065146446154753,0.08782396023325927,0.08188090091627663,0.05858368015310997,10.0,
6,split_cell_heldout,cell_heldout,ridge_drug_fp,1456,744,0.169729458848583,0.15186274416556672,0.0838479634304856,0.061778513584697506,10.0,1024.0
6,split_cell_heldout,cell_heldout,ridge_cell_dose_drug_fp,1456,744,0.17093623812049077,0.148462294024118,0.08395215451228023,0.061876659091350435,10.0,1024.0
6,split_scaffold_heldout,scaffold_heldout,global_train_mean,1814,386,0.15163145654599783,0.1368560336092336,0.07754282824982842,0.06566257222601282,,
6,split_scaffold_heldout,scaffold_heldout,cell_context_mean,1814,386,0.21952175654169212,0.20753853460187038,0.07710100261579506,0.06583675011872833,,
6,split_scaffold_heldout,scaffold_heldout,drug_mean,1814,386,0.15163145654599783,0.1368560336092336,0.07754282824982842,0.06566257222601282,,
6,split_scaffold_heldout,scaffold_heldout,cell_dose_mean,1814,386,0.24253209998360922,0.23797834795469133,0.07662923111393762,0.06601922499788747,,
6,split_scaffold_heldout,scaffold_heldout,ridge_cell_dose,1814,386,0.2191021198942423,0.20658170732887132,0.07697533282431579,0.06582699227443753,10.0,
6,split_scaffold_heldout,scaffold_heldout,ridge_drug_fp,1814,386,0.10159940171811156,0.06873648662558621,0.08454169338086093,0.07389687380288096,10.0,1024.0
6,split_scaffold_heldout,scaffold_heldout,ridge_cell_dose_drug_fp,1814,386,0.16461521159528236,0.13132936846805454,0.08407313491030471,0.07407001170850086,10.0,1024.0
6,split_cell_scaffold_heldout,cell_scaffold_heldout,global_train_mean,1199,129,0.09123060817523757,0.08490053483438272,0.07531660635551443,0.057083302626393904,,
6,split_cell_scaffold_heldout,cell_scaffold_heldout,cell_context_mean,1199,129,0.09123060817523757,0.08490053483438272,0.07531660635551443,0.057083302626393904,,
6,split_cell_scaffold_heldout,cell_scaffold_heldout,drug_mean,1199,129,0.09123060817523757,0.08490053483438272,0.07531660635551443,0.057083302626393904,,
6,split_cell_scaffold_heldout,cell_scaffold_heldout,cell_dose_mean,1199,129,0.09123060817523757,0.08490053483438272,0.07531660635551443,0.057083302626393904,,
6,split_cell_scaffold_heldout,cell_scaffold_heldout,ridge_cell_dose,1199,129,0.09065086180939735,0.0772014576116147,0.0754000603824736,0.05844019332045078,10.0,
6,split_cell_scaffold_heldout,cell_scaffold_heldout,ridge_drug_fp,1199,129,0.06809329908731811,0.04643479802302666,0.0841624726179273,0.0695212293766526,10.0,1024.0
6,split_cell_scaffold_heldout,cell_scaffold_heldout,ridge_cell_dose_drug_fp,1199,129,0.07228749550243596,0.05217171140414368,0.08437069847904137,0.06871805323569108,10.0,1024.0
