split,baseline,top_k,n_train,n_test,mean_topk_overlap,sd_topk_overlap,mean_direction_agreement,sd_direction_agreement,n_direction_evaluable,seed
split_random,global_train_mean,50,436,109,0.0678899082568807,0.1036382007585667,0.9388059701492536,0.2256003599023275,67,1
split_random,global_train_mean,100,436,109,0.0874311926605504,0.1012368296850286,0.8910432945107869,0.2549614419939069,95,1
split_random,global_train_mean,200,436,109,0.1120183486238532,0.0998705626791012,0.8231857661790819,0.2415725339149915,109,1
split_random,ridge_cell_drug_fp,50,436,109,0.1119266055045871,0.1195398357918752,0.9728260869565216,0.1548506979404733,92,1
split_random,ridge_cell_drug_fp,100,436,109,0.1258715596330275,0.1104972851113975,0.9728835978835976,0.12109977757295,108,1
split_random,ridge_cell_drug_fp,200,436,109,0.1465137614678899,0.1024254575088905,0.9497789812081602,0.0992593790887495,109,1
split_random,nearest_drug_any_cell,50,436,109,0.0499082568807339,0.0796577797558851,0.9688888888888888,0.1659745388532456,75,1
split_random,nearest_drug_any_cell,100,436,109,0.0592660550458715,0.0674359287414295,0.9045379537953796,0.2360188456237106,101,1
split_random,nearest_drug_any_cell,200,436,109,0.0798165137614679,0.0599997168415563,0.8368836281781289,0.1994998739111493,109,1
split_cell_heldout,global_train_mean,50,407,138,0.0828985507246376,0.0980853412007534,0.947,0.2157697051408414,100,1
split_cell_heldout,global_train_mean,100,407,138,0.1010144927536232,0.0928957492374283,0.8414012965149329,0.3163132933699329,132,1
split_cell_heldout,global_train_mean,200,407,138,0.1189130434782608,0.0805789704920591,0.8130233308929703,0.2733510941162361,138,1
split_cell_heldout,ridge_cell_drug_fp,50,407,138,0.1459420289855072,0.1229897490307874,0.996,0.0447213595499957,125,1
split_cell_heldout,ridge_cell_drug_fp,100,407,138,0.1599999999999999,0.1094445164902336,0.9783245149911816,0.076861205720701,135,1
split_cell_heldout,ridge_cell_drug_fp,200,407,138,0.1852173913043478,0.1098736327322773,0.964389612653378,0.0749974454980125,138,1
split_cell_heldout,nearest_drug_any_cell,50,407,138,0.0865217391304347,0.0913216196203945,0.9770642201834864,0.1424865344664097,109,1
split_cell_heldout,nearest_drug_any_cell,100,407,138,0.1,0.0883754432979104,0.9382684498963568,0.1659159411970329,129,1
split_cell_heldout,nearest_drug_any_cell,200,407,138,0.128731884057971,0.0930819856700448,0.8991848393989227,0.1490258782442909,138,1
split_scaffold_heldout,global_train_mean,50,435,110,0.0712727272727272,0.1052573002189134,0.8264840182648401,0.3594388160348269,73,1
split_scaffold_heldout,global_train_mean,100,435,110,0.0802727272727272,0.0925030035803855,0.8007896390249332,0.3575651664313141,102,1
split_scaffold_heldout,global_train_mean,200,435,110,0.0997727272727272,0.0861814449357246,0.7740635346442853,0.3109773717056271,109,1
split_scaffold_heldout,ridge_cell_drug_fp,50,435,110,0.0758181818181818,0.0999117208337772,0.8747899159663866,0.3008812808258331,85,1
split_scaffold_heldout,ridge_cell_drug_fp,100,435,110,0.0907272727272727,0.0930887816427044,0.8448591418774904,0.3106818122275551,109,1
split_scaffold_heldout,ridge_cell_drug_fp,200,435,110,0.1139545454545454,0.0828203966328062,0.8038184017791784,0.2631482144133201,110,1
split_scaffold_heldout,nearest_drug_any_cell,50,435,110,0.0203636363636363,0.0421427733360502,0.72,0.4421653583012045,50,1
split_scaffold_heldout,nearest_drug_any_cell,100,435,110,0.0312727272727272,0.0443528200216163,0.6715856481481483,0.3794595090822232,96,1
split_scaffold_heldout,nearest_drug_any_cell,200,435,110,0.0520454545454545,0.0395171281790094,0.6505317510470964,0.2861683241459979,110,1
split_cell_scaffold_heldout,global_train_mean,50,325,28,0.0785714285714285,0.0942696795728747,0.9411764705882352,0.242535625036333,17,1
split_cell_scaffold_heldout,global_train_mean,100,325,28,0.0953571428571428,0.0787157164812975,0.7344387755102042,0.4211395007665845,28,1
