dataset,split_type,model_name,seeds,mean_train_records,mean_test_records,mean_all_gene_pearson,sd_all_gene_pearson,mean_de_gene_pearson,sd_de_gene_pearson,mean_all_gene_rmse,sd_all_gene_rmse,mean_de_gene_rmse,sd_de_gene_rmse,status,notes
openproblems_neurips2023,cell_heldout,scgpt_frozen_ridge,0,,,,,,,,,,,not_run_dependency_or_input_pending,"External implementation, torch runtime, or required raw single-cell/foundation embedding input is not configured locally; see docs/model_feasibility_report.md."
openproblems_neurips2023,joint_cell_scaffold_heldout,scgpt_frozen_ridge,0,,,,,,,,,,,not_run_dependency_or_input_pending,"External implementation, torch runtime, or required raw single-cell/foundation embedding input is not configured locally; see docs/model_feasibility_report.md."
openproblems_neurips2023,moa_heldout,scgpt_frozen_ridge,0,,,,,,,,,,,not_run_dependency_or_input_pending,"External implementation, torch runtime, or required raw single-cell/foundation embedding input is not configured locally; see docs/model_feasibility_report.md."
openproblems_neurips2023,random,scgpt_frozen_ridge,0,,,,,,,,,,,not_run_dependency_or_input_pending,"External implementation, torch runtime, or required raw single-cell/foundation embedding input is not configured locally; see docs/model_feasibility_report.md."
openproblems_neurips2023,scaffold_heldout,scgpt_frozen_ridge,0,,,,,,,,,,,not_run_dependency_or_input_pending,"External implementation, torch runtime, or required raw single-cell/foundation embedding input is not configured locally; see docs/model_feasibility_report.md."
