plot_model,Joint held-out,Random,Scaffold held-out
Global mean,0.0755333673474889,0.1623486265155224,0.1604465745331974
Ridge cell+dose+drug FP,0.0596765729705951,0.2915578848941759,0.1885129824204365
Ridge drug FP,0.0582223141944604,0.2431170558580188,0.1263584849056009
TranSiGen adapted,0.0169404230675883,0.2328521378527454,0.2117858310631618
