dataset,model,model_label,split,n_seed_units,mean,sd,median,iqr,metric,panel,contrast,mean_difference,ci95_low,ci95_high,gene_set_name,mean_abs_error
,,Control-conditioned regressor,,,,,,,,D,,,,,HALLMARK_E2F_TARGETS,0.247478900926259
,,PRnet-interface adapter,,,,,,,,D,,,,,HALLMARK_G2M_CHECKPOINT,0.3559658788012856
,,Ridge cell+dose+drug FP,,,,,,,,D,,,,,HALLMARK_G2M_CHECKPOINT,0.0330727941502907
,,Control-conditioned regressor,,,,,,,,D,,,,,HALLMARK_G2M_CHECKPOINT,0.1904805589178083
,,PRnet-interface adapter,,,,,,,,D,,,,,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.3287982553858607
,,Ridge cell+dose+drug FP,,,,,,,,D,,,,,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0268812753936447
,,Control-conditioned regressor,,,,,,,,D,,,,,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0963615801261591
,,PRnet-interface adapter,,,,,,,,D,,,,,HALLMARK_MTORC1_SIGNALING,0.4322626322086195
,,Ridge cell+dose+drug FP,,,,,,,,D,,,,,HALLMARK_MTORC1_SIGNALING,0.0333303677562736
,,Control-conditioned regressor,,,,,,,,D,,,,,HALLMARK_MTORC1_SIGNALING,0.1559278103695229
,,PRnet-interface adapter,,,,,,,,D,,,,,HALLMARK_P53_PATHWAY,0.3375552738337283
,,Ridge cell+dose+drug FP,,,,,,,,D,,,,,HALLMARK_P53_PATHWAY,0.0271976405511476
,,Control-conditioned regressor,,,,,,,,D,,,,,HALLMARK_P53_PATHWAY,0.1117949278733347
,,PRnet-interface adapter,,,,,,,,D,,,,,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.4253957794065693
,,Ridge cell+dose+drug FP,,,,,,,,D,,,,,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.0360797049604891
,,Control-conditioned regressor,,,,,,,,D,,,,,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.1650931913211472
,,PRnet-interface adapter,,,,,,,,D,,,,,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.3681547819088929
,,Ridge cell+dose+drug FP,,,,,,,,D,,,,,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.0317427000701958
,,Control-conditioned regressor,,,,,,,,D,,,,,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.1422969763712092
