model_name,split_type,seeds,mean_pearson,sd_pearson,median_pearson,mean_rmse,sd_rmse,input_dim,model_label,split_label
transigen_basal_drug,cell_heldout,10,0.026716952207124722,0.012686019828428676,0.02536762529187105,0.6270328285945267,0.4809494057567345,3024,Basal+drug,Cell-line
transigen_basal_drug,cell_scaffold_heldout,10,0.01599780726341694,0.023341163342364343,0.01036340105428815,0.5658018166424721,0.40832110555101503,3024,Basal+drug,Joint
transigen_basal_drug,random,10,0.23527306036539328,0.01503499305624345,0.2351568240605277,0.08019122516314268,0.0021802793023185676,3024,Basal+drug,Random
transigen_basal_drug,scaffold_heldout,10,0.21488625168032033,0.029965935935444436,0.21577141767117858,0.08502738562581225,0.008374670074660695,3024,Basal+drug,Scaffold
transigen_basal_drug_dose,cell_heldout,10,0.02259659038446725,0.02176727144546914,0.019417012007395998,0.7327956646548769,0.6133871988252441,3025,Basal+drug+dose,Cell-line
transigen_basal_drug_dose,cell_scaffold_heldout,10,0.013355392796735518,0.01621241539638944,0.00828565347231585,0.6293493361686443,0.43172226518397183,3025,Basal+drug+dose,Joint
transigen_basal_drug_dose,random,10,0.23513219858538964,0.01291835905938321,0.2332705655788037,0.07971704517089075,0.0018967774309743691,3025,Basal+drug+dose,Random
transigen_basal_drug_dose,scaffold_heldout,10,0.21292015969293118,0.02475416071754353,0.2178842147880622,0.08479124779616921,0.008573023602162869,3025,Basal+drug+dose,Scaffold
transigen_basal_drug_dose_cell,cell_heldout,10,0.03067861986663703,0.021148889186711477,0.029691355999794052,0.6214666237441183,0.6634531944472187,3028,Basal+drug+dose+cell,Cell-line
transigen_basal_drug_dose_cell,cell_scaffold_heldout,10,0.012987307189234798,0.020847323703736743,0.0160869178334781,0.5527421436201663,0.5099656549949081,3028,Basal+drug+dose+cell,Joint
transigen_basal_drug_dose_cell,random,10,0.23465627328416977,0.014924573247201079,0.2346656937254467,0.07994507664072976,0.001980325626971778,3028,Basal+drug+dose+cell,Random
transigen_basal_drug_dose_cell,scaffold_heldout,10,0.2152439977605563,0.0244607484847113,0.21700077037542198,0.08477559741633758,0.00853160181139401,3028,Basal+drug+dose+cell,Scaffold
transigen_basal_only,cell_heldout,10,0.0030183345549815105,0.011937058990918856,0.0026459848909775006,0.6367571280826386,0.6019331577132505,2000,Basal only,Cell-line
transigen_basal_only,cell_scaffold_heldout,10,-0.00190384003769937,0.006742297043691202,-0.0007495829893579,0.61601086659074,0.5590769278100743,2000,Basal only,Joint
transigen_basal_only,random,10,0.22290912803327861,0.010616096980115163,0.22472664973778445,0.08315494480772452,0.002142194998783036,2000,Basal only,Random
transigen_basal_only,scaffold_heldout,10,0.22969884904081392,0.026125113740269476,0.23581303687558125,0.08462270310256237,0.008772473682402358,2000,Basal only,Scaffold
transigen_drug_only,cell_heldout,10,0.1037761755492832,0.027591613307276462,0.11544992582152815,0.0864296061672196,0.004896555954005628,1024,Drug only,Cell-line
transigen_drug_only,cell_scaffold_heldout,10,0.07690069010719416,0.02587834737135435,0.07476204734941999,0.08824505217798394,0.008585147727067387,1024,Drug only,Joint
transigen_drug_only,random,10,0.2323131423882904,0.021239660394372396,0.23566491283972468,0.08033865088600617,0.0019090795592470635,1024,Drug only,Random
transigen_drug_only,scaffold_heldout,10,0.16559822105664435,0.025486015723062336,0.17498717898432214,0.0856542739359254,0.008443900724714523,1024,Drug only,Scaffold
transigen_full_current,cell_heldout,10,0.03067861986663703,0.021148889186711477,0.029691355999794052,0.6214666237441183,0.6634531944472187,3028,Full current,Cell-line
transigen_full_current,cell_scaffold_heldout,10,0.012987307189234798,0.020847323703736743,0.0160869178334781,0.5527421436201663,0.5099656549949081,3028,Full current,Joint
transigen_full_current,random,10,0.23465627328416977,0.014924573247201079,0.2346656937254467,0.07994507664072976,0.001980325626971778,3028,Full current,Random
transigen_full_current,scaffold_heldout,10,0.2152439977605563,0.0244607484847113,0.21700077037542198,0.08477559741633758,0.00853160181139401,3028,Full current,Scaffold
