split,n_train_records,n_test_records,n_excluded_records,test_drug_same_in_train_frac,test_scaffold_same_in_train_frac,test_cell_same_in_train_frac,test_drug_cell_pair_same_in_train_frac,unique_test_drug_overlap_frac,unique_test_scaffold_overlap_frac,unique_test_cell_overlap_frac,unique_test_pair_overlap_frac,n_unique_test_drugs,n_unique_test_scaffolds,n_unique_test_cells,n_unique_test_pairs,seed,dataset,n_train,n_test,n_excluded,same_drug_in_train,same_scaffold_in_train,same_cell_in_train,same_drug_cell_in_train,same_drug_overlap,same_scaffold_overlap,same_cell_line_overlap,same_drug_dose_overlap,same_drug_cell_line_dose_overlap,same_numeric_dose_overlap,split_type,model_name,status,n_heldout_moa,n_test_drugs,n_test_scaffolds,same_moa_in_train
split_random,446.0,107.0,0.0,1.0,0.9906542056074766,1.0,0.0,1.0,1.0,1.0,0.0,84.0,82.0,4.0,107.0,7,openproblems_neurips2023,,,,,,,,,,,,,,random,,,,,,
split_cell_heldout,418.0,135.0,0.0,1.0,0.9851851851851852,0.0,0.0,1.0,1.0,0.0,0.0,135.0,131.0,1.0,135.0,7,openproblems_neurips2023,,,,,,,,,,,,,,cell_heldout,,,,,,
split_scaffold_heldout,444.0,109.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,28.0,27.0,4.0,109.0,7,openproblems_neurips2023,,,,,,,,,,,,,,scaffold_heldout,,,,,,
split_cell_scaffold_heldout,336.0,27.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,26.0,1.0,27.0,7,openproblems_neurips2023,,,,,,,,,,,,,,joint_cell_scaffold_heldout,,,,,,
split_random,447.0,106.0,0.0,1.0,0.981132075471698,1.0,0.0,1.0,1.0,1.0,0.0,77.0,76.0,4.0,106.0,8,openproblems_neurips2023,,,,,,,,,,,,,,random,,,,,,
split_cell_heldout,418.0,135.0,0.0,1.0,0.9851851851851852,0.0,0.0,1.0,1.0,0.0,0.0,135.0,131.0,1.0,135.0,8,openproblems_neurips2023,,,,,,,,,,,,,,cell_heldout,,,,,,
split_scaffold_heldout,437.0,116.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,29.0,27.0,4.0,116.0,8,openproblems_neurips2023,,,,,,,,,,,,,,scaffold_heldout,,,,,,
split_cell_scaffold_heldout,331.0,29.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,27.0,1.0,29.0,8,openproblems_neurips2023,,,,,,,,,,,,,,joint_cell_scaffold_heldout,,,,,,
split_random,445.0,108.0,0.0,1.0,0.9814814814814816,1.0,0.0,1.0,1.0,1.0,0.0,83.0,80.0,4.0,108.0,9,openproblems_neurips2023,,,,,,,,,,,,,,random,,,,,,
split_cell_heldout,413.0,140.0,0.0,1.0,0.9857142857142858,0.0,0.0,1.0,1.0,0.0,0.0,140.0,136.0,1.0,140.0,9,openproblems_neurips2023,,,,,,,,,,,,,,cell_heldout,,,,,,
split_scaffold_heldout,441.0,112.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,28.0,27.0,4.0,112.0,9,openproblems_neurips2023,,,,,,,,,,,,,,scaffold_heldout,,,,,,
split_cell_scaffold_heldout,329.0,28.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,27.0,1.0,28.0,9,openproblems_neurips2023,,,,,,,,,,,,,,joint_cell_scaffold_heldout,,,,,,
split_random,442.0,111.0,0.0,1.0,0.990990990990991,1.0,0.0,1.0,1.0,1.0,0.0,86.0,85.0,4.0,111.0,10,openproblems_neurips2023,,,,,,,,,,,,,,random,,,,,,
split_cell_heldout,413.0,140.0,0.0,1.0,0.9857142857142858,0.0,0.0,1.0,1.0,0.0,0.0,140.0,136.0,1.0,140.0,10,openproblems_neurips2023,,,,,,,,,,,,,,cell_heldout,,,,,,
split_scaffold_heldout,448.0,105.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,27.0,27.0,4.0,105.0,10,openproblems_neurips2023,,,,,,,,,,,,,,scaffold_heldout,,,,,,
split_cell_scaffold_heldout,335.0,27.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,1.0,27.0,10,openproblems_neurips2023,,,,,,,,,,,,,,joint_cell_scaffold_heldout,,,,,,
split_random,433.0,120.0,0.0,1.0,0.9916666666666668,1.0,0.0,1.0,1.0,1.0,0.0,85.0,82.0,4.0,120.0,11,openproblems_neurips2023,,,,,,,,,,,,,,random,,,,,,
split_cell_heldout,414.0,139.0,0.0,1.0,0.9856115107913668,0.0,0.0,1.0,1.0,0.0,0.0,139.0,135.0,1.0,139.0,11,openproblems_neurips2023,,,,,,,,,,,,,,cell_heldout,,,,,,
split_scaffold_heldout,446.0,107.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,27.0,27.0,4.0,107.0,11,openproblems_neurips2023,,,,,,,,,,,,,,scaffold_heldout,,,,,,
split_cell_scaffold_heldout,334.0,27.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,1.0,27.0,11,openproblems_neurips2023,,,,,,,,,,,,,,joint_cell_scaffold_heldout,,,,,,
split_random,432.0,121.0,0.0,0.9669421487603306,0.950413223140496,1.0,0.0,0.988095238095238,0.9878048780487804,1.0,0.0,84.0,82.0,4.0,121.0,12,openproblems_neurips2023,,,,,,,,,,,,,,random,,,,,,
split_cell_heldout,414.0,139.0,0.0,1.0,0.9856115107913668,0.0,0.0,1.0,1.0,0.0,0.0,139.0,135.0,1.0,139.0,12,openproblems_neurips2023,,,,,,,,,,,,,,cell_heldout,,,,,,
split_scaffold_heldout,444.0,109.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,28.0,27.0,4.0,109.0,12,openproblems_neurips2023,,,,,,,,,,,,,,scaffold_heldout,,,,,,
split_cell_scaffold_heldout,332.0,27.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,26.0,1.0,27.0,12,openproblems_neurips2023,,,,,,,,,,,,,,joint_cell_scaffold_heldout,,,,,,
split_random,444.0,109.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,88.0,86.0,4.0,109.0,13,openproblems_neurips2023,,,,,,,,,,,,,,random,,,,,,
