metric,contrast,n_seeds,mean_difference,ci_low,ci_high,dataset,model_name
mean_rowwise_pearson,split_random minus split_scaffold_heldout,100,0.1277325716223806,0.1215227822557664,0.1339481265412115,openproblems_neurips2023,ridge_cell_drug_fp
mean_rowwise_pearson,split_random minus split_cell_scaffold_heldout,100,0.2432049819432849,0.235451747531852,0.2508812325816357,openproblems_neurips2023,ridge_cell_drug_fp
mean_de_rowwise_pearson,split_random minus split_scaffold_heldout,100,0.1763548690821326,0.1682475093272441,0.184477783099379,openproblems_neurips2023,ridge_cell_drug_fp
mean_de_rowwise_pearson,split_random minus split_cell_scaffold_heldout,100,0.3592615493337575,0.3465958644510893,0.3717713133239474,openproblems_neurips2023,ridge_cell_drug_fp
mean_rowwise_pearson,split_random minus split_scaffold_heldout,30,0.1030449024737394,0.0962958263370609,0.1097242790818813,sciplex3_24h_top2000,ridge_cell_drug_fp
mean_rowwise_pearson,split_random minus split_cell_scaffold_heldout,30,0.2318813119235808,0.2221533563602286,0.241872627900829,sciplex3_24h_top2000,ridge_cell_drug_fp
