sample_id,dataset,drug_id,drug_name,cell_context,cell_type,cell_line,tissue,batch,dose,time,condition,control_sample_id,source_file,source_split,split,control,smiles,scaffold,split_random,split_cell_heldout,split_scaffold_heldout,split_cell_scaffold_heldout
"NK cells, TIE2 Kinase Inhibitor",openproblems_neurips2023,TIE2 Kinase Inhibitor,TIE2 Kinase Inhibitor,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,COc1ccc2cc(-c3[nH]c(-c4ccc([S+](C)[O-])cc4)nc3-c3ccncc3)ccc2c1,c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4ccccc4c3)[nH]2)cc1,train,train,test,excluded
"T cells, TIE2 Kinase Inhibitor",openproblems_neurips2023,TIE2 Kinase Inhibitor,TIE2 Kinase Inhibitor,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,COc1ccc2cc(-c3[nH]c(-c4ccc([S+](C)[O-])cc4)nc3-c3ccncc3)ccc2c1,c1ccc(-c2nc(-c3ccncc3)c(-c3ccc4ccccc4c3)[nH]2)cc1,train,test,test,test
"B cells, MK-5108",openproblems_neurips2023,MK-5108,MK-5108,B cells,B cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,c1ccc(OC2CCC(Cc3cccc(Nc4nccs4)n3)CC2)cc1,test,train,train,train
"Myeloid cells, MK-5108",openproblems_neurips2023,MK-5108,MK-5108,Myeloid cells,Myeloid cells,PBMC,blood,de_train:public_test,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,public_test,False,O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,c1ccc(OC2CCC(Cc3cccc(Nc4nccs4)n3)CC2)cc1,train,train,train,train
"NK cells, MK-5108",openproblems_neurips2023,MK-5108,MK-5108,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,c1ccc(OC2CCC(Cc3cccc(Nc4nccs4)n3)CC2)cc1,train,train,train,train
"T cells, MK-5108",openproblems_neurips2023,MK-5108,MK-5108,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,O=C(O)[C@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](Oc2cccc(Cl)c2F)CC1,c1ccc(OC2CCC(Cc3cccc(Nc4nccs4)n3)CC2)cc1,train,test,train,excluded
"NK cells, Lapatinib",openproblems_neurips2023,Lapatinib,Lapatinib,NK cells,NK cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,c1ccc(COc2ccc(Nc3ncnc4ccc(-c5ccco5)cc34)cc2)cc1,train,train,train,train
"T cells, Lapatinib",openproblems_neurips2023,Lapatinib,Lapatinib,T cells,T cells,PBMC,blood,de_train:train,not_available_in_de_h5ad,24h,treated,,de_train.h5ad,de_train,train,False,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,c1ccc(COc2ccc(Nc3ncnc4ccc(-c5ccco5)cc34)cc2)cc1,train,test,train,excluded
"B cells, Belinostat",openproblems_neurips2023,Belinostat,Belinostat,B cells,B cells,PBMC,blood,de_train:control,not_available_in_de_h5ad,24h,control,,de_train.h5ad,de_train,control,True,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,O=S(=O)(Nc1ccccc1)c1ccccc1,train,train,train,train
"Myeloid cells, Belinostat",openproblems_neurips2023,Belinostat,Belinostat,Myeloid cells,Myeloid cells,PBMC,blood,de_train:control,not_available_in_de_h5ad,24h,control,,de_train.h5ad,de_train,control,True,O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,O=S(=O)(Nc1ccccc1)c1ccccc1,test,train,train,train
