model_name,contrast,n_seeds,mean_difference,sd_difference,ci_low,ci_high
transigen_basal_drug,random_minus_scaffold_heldout,10,0.020386808685072953,0.02770584494476789,0.003583097213435063,0.0361722144804564
transigen_basal_drug,random_minus_cell_scaffold_heldout,10,0.21927525310197632,0.02998936532150322,0.2010816091757177,0.23665279119196755
transigen_basal_drug,scaffold_heldout_minus_cell_scaffold_heldout,10,0.1988884444169034,0.03369442472956706,0.17854368841258123,0.21849476946118546
transigen_basal_drug_dose,random_minus_scaffold_heldout,10,0.022212038892458423,0.027741568958486566,0.005613991622115438,0.038477093928771564
transigen_basal_drug_dose,random_minus_cell_scaffold_heldout,10,0.22177680578865414,0.016961180612436927,0.21112964515996252,0.2313243951529934
transigen_basal_drug_dose,scaffold_heldout_minus_cell_scaffold_heldout,10,0.19956476689619568,0.026837857159340988,0.18400105542662498,0.21599176965787817
transigen_basal_drug_dose_cell,random_minus_scaffold_heldout,10,0.019412275523613496,0.0242840477183022,0.004685983686850525,0.03327098179543708
transigen_basal_drug_dose_cell,random_minus_cell_scaffold_heldout,10,0.221668966094935,0.02826322213439329,0.2064848393301321,0.2393668363753405
transigen_basal_drug_dose_cell,scaffold_heldout_minus_cell_scaffold_heldout,10,0.2022566905713215,0.03356509294264447,0.18324408841334514,0.22252355992314338
transigen_basal_only,random_minus_scaffold_heldout,10,-0.00678972100753529,0.02276381364368108,-0.020138729561809694,0.007018187979812425
transigen_basal_only,random_minus_cell_scaffold_heldout,10,0.22481296807097798,0.012257432826464916,0.21770514794134493,0.23199784037376597
transigen_basal_only,scaffold_heldout_minus_cell_scaffold_heldout,10,0.2316026890785133,0.028758188000905762,0.2145760447073757,0.2486171551535725
transigen_drug_only,random_minus_scaffold_heldout,10,0.06671492133164605,0.027957576126705925,0.051323220696040964,0.0840856127252291
transigen_drug_only,random_minus_cell_scaffold_heldout,10,0.1554124522810962,0.031442598316816554,0.13640034857746527,0.1734404399365595
transigen_drug_only,scaffold_heldout_minus_cell_scaffold_heldout,10,0.08869753094945018,0.030797862817244257,0.07155597399179783,0.1071196097380931
transigen_full_current,random_minus_scaffold_heldout,10,0.019412275523613496,0.0242840477183022,0.004685983686850525,0.03327098179543708
transigen_full_current,random_minus_cell_scaffold_heldout,10,0.221668966094935,0.02826322213439329,0.2064848393301321,0.2393668363753405
transigen_full_current,scaffold_heldout_minus_cell_scaffold_heldout,10,0.2022566905713215,0.03356509294264447,0.18324408841334514,0.22252355992314338
