dataset,model_name,quantity,split_type,contrast,n_seeds,estimate,ci_low,ci_high
sciplex3_24h_top2000,prnet_adapted_sciplex3,split_mean_all_gene_pearson,cell_heldout,,30,-0.001551285166678216,-0.013680711330042172,0.010454009034711892
sciplex3_24h_top2000,prnet_adapted_sciplex3,split_mean_all_gene_pearson,cell_scaffold_heldout,,30,0.0006453008400636998,-0.013152902349359206,0.01429765567367905
sciplex3_24h_top2000,prnet_adapted_sciplex3,split_mean_all_gene_pearson,random,,30,0.017478089076454924,0.013344274734628507,0.021764409766543848
sciplex3_24h_top2000,prnet_adapted_sciplex3,split_mean_all_gene_pearson,scaffold_heldout,,30,0.015068344012598815,0.01218335512891024,0.017979368344534317
sciplex3_24h_top2000,prnet_adapted_sciplex3,paired_difference_all_gene_pearson,,random_minus_scaffold_heldout,30,0.002409745063856106,-0.0015596379736853353,0.006259679078766074
sciplex3_24h_top2000,prnet_adapted_sciplex3,paired_difference_all_gene_pearson,,random_minus_cell_scaffold_heldout,30,0.016832788236391224,0.004256328945108724,0.029227119149059077
