dataset,split_key,model_name,baseline,n_seeds,mean_transigen,mean_baseline,mean_difference_transigen_minus_baseline,sd_difference,ci_low,ci_high,notes
sciplex3_24h_top2000,cell_heldout,transigen_adapted_sciplex3,global_train_mean,30,0.027016904363025653,0.07635369225966875,-0.049336787896643086,0.025780372224324003,-0.05838207462662572,-0.040373572360723274,SVD-ridge comparison appears only if available in the Sci-Plex 3 baseline table.
sciplex3_24h_top2000,cell_scaffold_heldout,transigen_adapted_sciplex3,global_train_mean,30,0.016940423067588316,0.07553336734748886,-0.05859294427990054,0.03171284219089951,-0.06981223577790811,-0.04758487041241272,SVD-ridge comparison appears only if available in the Sci-Plex 3 baseline table.
sciplex3_24h_top2000,random,transigen_adapted_sciplex3,global_train_mean,30,0.23285213785274547,0.16234862651552243,0.07050351133722302,0.009511479669460162,0.0670915953640793,0.07381378356164724,SVD-ridge comparison appears only if available in the Sci-Plex 3 baseline table.
sciplex3_24h_top2000,scaffold_heldout,transigen_adapted_sciplex3,global_train_mean,30,0.21178583106316184,0.1604465745331974,0.051339256529964475,0.008442881588309636,0.04848006283352144,0.05435845710181364,SVD-ridge comparison appears only if available in the Sci-Plex 3 baseline table.
sciplex3_24h_top2000,cell_heldout,transigen_adapted_sciplex3,ridge_cell_dose_drug_fp,30,0.027016904363025653,0.13263069041016026,-0.10561378604713462,0.03233087453520515,-0.1170288796328415,-0.09425804879448117,SVD-ridge comparison appears only if available in the Sci-Plex 3 baseline table.
sciplex3_24h_top2000,cell_scaffold_heldout,transigen_adapted_sciplex3,ridge_cell_dose_drug_fp,30,0.016940423067588316,0.05967657297059514,-0.042736149903006816,0.03088437953161905,-0.05369958764101099,-0.03194557593271644,SVD-ridge comparison appears only if available in the Sci-Plex 3 baseline table.
sciplex3_24h_top2000,random,transigen_adapted_sciplex3,ridge_cell_dose_drug_fp,30,0.23285213785274547,0.29155788489417594,-0.05870574704143047,0.008607414915156921,-0.06174761230580065,-0.05565679177307957,SVD-ridge comparison appears only if available in the Sci-Plex 3 baseline table.
sciplex3_24h_top2000,scaffold_heldout,transigen_adapted_sciplex3,ridge_cell_dose_drug_fp,30,0.21178583106316184,0.18851298242043654,0.02327284864272538,0.01122492334439156,0.019392219464287316,0.027220564019567645,SVD-ridge comparison appears only if available in the Sci-Plex 3 baseline table.
sciplex3_24h_top2000,cell_heldout,transigen_adapted_sciplex3,ridge_drug_fp,30,0.027016904363025653,0.13491580851517632,-0.10789890415215063,0.031004626710052968,-0.11881497627550472,-0.09705085120078775,SVD-ridge comparison appears only if available in the Sci-Plex 3 baseline table.
sciplex3_24h_top2000,cell_scaffold_heldout,transigen_adapted_sciplex3,ridge_drug_fp,30,0.016940423067588316,0.058222314194460355,-0.04128189112687204,0.029734293699774504,-0.051835612725860465,-0.030804095421104103,SVD-ridge comparison appears only if available in the Sci-Plex 3 baseline table.
sciplex3_24h_top2000,random,transigen_adapted_sciplex3,ridge_drug_fp,30,0.23285213785274547,0.24311705585801877,-0.010264918005273316,0.009347397356594329,-0.013538129590166322,-0.006931063023160787,SVD-ridge comparison appears only if available in the Sci-Plex 3 baseline table.
sciplex3_24h_top2000,scaffold_heldout,transigen_adapted_sciplex3,ridge_drug_fp,30,0.21178583106316184,0.12635848490560092,0.08542734615756097,0.013204932134146058,0.08087393932902766,0.09010655909472334,SVD-ridge comparison appears only if available in the Sci-Plex 3 baseline table.
