seed,split_type,model_name,score,rank
1,random,global_mean,0.1493673008990657,4.0
1,random,ridge_drug_fp,0.2279449826847164,2.0
1,random,ridge_cell_dose_drug_fp,0.2784111690558094,1.0
1,cell_heldout,global_mean,0.0893947088630246,3.0
1,cell_heldout,ridge_drug_fp,0.1514759599404952,1.0
1,cell_heldout,ridge_cell_dose_drug_fp,0.1489460699039518,2.0
1,scaffold_heldout,global_mean,0.1508118104090968,3.0
1,scaffold_heldout,ridge_drug_fp,0.1072524164213741,4.0
1,scaffold_heldout,ridge_cell_dose_drug_fp,0.1665789917518298,2.0
1,cell_scaffold_heldout,global_mean,0.0824660591957987,1.0
1,cell_scaffold_heldout,ridge_drug_fp,0.0579210636017519,3.0
1,cell_scaffold_heldout,ridge_cell_dose_drug_fp,0.0609152195674445,2.0
2,random,global_mean,0.1738231041554724,4.0
2,random,ridge_drug_fp,0.2519933801815505,2.0
2,random,ridge_cell_dose_drug_fp,0.3047577866771951,1.0
2,cell_heldout,global_mean,0.0508340515992454,3.0
2,cell_heldout,ridge_drug_fp,0.100948831923154,1.0
2,cell_heldout,ridge_cell_dose_drug_fp,0.0971625370612035,2.0
2,scaffold_heldout,global_mean,0.2102948372365491,3.0
2,scaffold_heldout,ridge_drug_fp,0.1641474129286032,4.0
2,scaffold_heldout,ridge_cell_dose_drug_fp,0.2322157386275081,2.0
2,cell_scaffold_heldout,global_mean,0.0615894722022914,2.0
2,cell_scaffold_heldout,ridge_drug_fp,0.0514950313709205,3.0
2,cell_scaffold_heldout,ridge_cell_dose_drug_fp,0.0514311235912843,4.0
3,random,global_mean,0.1609632021150517,4.0
3,random,ridge_drug_fp,0.2406395238581517,2.0
3,random,ridge_cell_dose_drug_fp,0.2873079313932848,1.0
3,cell_heldout,global_mean,0.0508340515992454,3.0
3,cell_heldout,ridge_drug_fp,0.100948831923154,1.0
3,cell_heldout,ridge_cell_dose_drug_fp,0.0971625370612035,2.0
3,scaffold_heldout,global_mean,0.1830086701399098,3.0
3,scaffold_heldout,ridge_drug_fp,0.1424852645341543,4.0
3,scaffold_heldout,ridge_cell_dose_drug_fp,0.2066947010283395,2.0
3,cell_scaffold_heldout,global_mean,0.0470231563385114,2.0
3,cell_scaffold_heldout,ridge_drug_fp,0.0302733430085868,4.0
3,cell_scaffold_heldout,ridge_cell_dose_drug_fp,0.0321855093783249,3.0
4,random,global_mean,0.1614656780063477,4.0
4,random,ridge_drug_fp,0.2431781937490082,2.0
4,random,ridge_cell_dose_drug_fp,0.2929541694608465,1.0
4,cell_heldout,global_mean,0.0893947088630246,3.0
4,cell_heldout,ridge_drug_fp,0.1514759599404952,1.0
4,cell_heldout,ridge_cell_dose_drug_fp,0.1489460699039518,2.0
4,scaffold_heldout,global_mean,0.183805928582125,3.0
4,scaffold_heldout,ridge_drug_fp,0.1419824657008802,4.0
4,scaffold_heldout,ridge_cell_dose_drug_fp,0.2027805200241674,2.0
4,cell_scaffold_heldout,global_mean,0.1296799843148884,1.0
4,cell_scaffold_heldout,ridge_drug_fp,0.093250570072856,3.0
4,cell_scaffold_heldout,ridge_cell_dose_drug_fp,0.0945179515955906,2.0
5,random,global_mean,0.1473186087944221,4.0
5,random,ridge_drug_fp,0.2297394275783267,2.0
5,random,ridge_cell_dose_drug_fp,0.2734873279504473,1.0
5,cell_heldout,global_mean,0.0893947088630246,3.0
5,cell_heldout,ridge_drug_fp,0.1514759599404952,1.0
5,cell_heldout,ridge_cell_dose_drug_fp,0.1489460699039518,2.0
5,scaffold_heldout,global_mean,0.1372759828757069,3.0
5,scaffold_heldout,ridge_drug_fp,0.1187570602850162,4.0
5,scaffold_heldout,ridge_cell_dose_drug_fp,0.1690619554282133,2.0
5,cell_scaffold_heldout,global_mean,0.0749998953895498,3.0
5,cell_scaffold_heldout,ridge_drug_fp,0.0790511140720605,2.0
5,cell_scaffold_heldout,ridge_cell_dose_drug_fp,0.0802045817225436,1.0
6,random,global_mean,0.1705847567758785,4.0
