dataset,model_name,comparison_model,split_type,n_seeds,mean_prnet,mean_comparison,mean_difference_prnet_minus_comparison,sd_difference,ci_low,ci_high
sciplex3_24h_top2000,prnet_adapted_sciplex3,global_mean,cell_heldout,30,-0.001551285166678216,0.07635369225966875,-0.07790497742634696,0.05316957266272203,-0.09660916479029932,-0.05900830615942651
sciplex3_24h_top2000,prnet_adapted_sciplex3,global_mean,cell_scaffold_heldout,30,0.0006453008400636998,0.07553336734748886,-0.07488806650742515,0.0587670573999921,-0.09611170754854916,-0.05435614299936392
sciplex3_24h_top2000,prnet_adapted_sciplex3,global_mean,random,30,0.017478089076454924,0.16234862651552243,-0.1448705374390675,0.012676964890436522,-0.14933998046551525,-0.14033562689971738
sciplex3_24h_top2000,prnet_adapted_sciplex3,global_mean,scaffold_heldout,30,0.015068344012598815,0.1604465745331974,-0.1453782305205986,0.016794323508730193,-0.15131463285430619,-0.13950187083220913
sciplex3_24h_top2000,prnet_adapted_sciplex3,ridge_cell_dose_drug_fp,cell_heldout,30,-0.001551285166678216,0.13263069041016026,-0.13418197557683845,0.06092997025069619,-0.1553506724880788,-0.11289656703539665
sciplex3_24h_top2000,prnet_adapted_sciplex3,ridge_cell_dose_drug_fp,cell_scaffold_heldout,30,0.0006453008400636998,0.05967657297059514,-0.059031272130531436,0.05611823403390966,-0.07923355324040948,-0.039561279119583154
sciplex3_24h_top2000,prnet_adapted_sciplex3,ridge_cell_dose_drug_fp,random,30,0.017478089076454924,0.29155788489417594,-0.27407979581772096,0.012339145816490892,-0.27848112290805116,-0.2696662192058684
sciplex3_24h_top2000,prnet_adapted_sciplex3,ridge_cell_dose_drug_fp,scaffold_heldout,30,0.015068344012598815,0.18851298242043654,-0.17344463840783766,0.01736316994857179,-0.17957091663185004,-0.16739000400689755
sciplex3_24h_top2000,prnet_adapted_sciplex3,ridge_drug_fp,cell_heldout,30,-0.001551285166678216,0.13491580851517632,-0.13646709368185447,0.05981438664345854,-0.15744324296012882,-0.11538403291225155
sciplex3_24h_top2000,prnet_adapted_sciplex3,ridge_drug_fp,cell_scaffold_heldout,30,0.0006453008400636998,0.058222314194460355,-0.057577013354396654,0.05516627280585647,-0.07747413574010338,-0.03836955041478322
sciplex3_24h_top2000,prnet_adapted_sciplex3,ridge_drug_fp,random,30,0.017478089076454924,0.24311705585801877,-0.22563896678156384,0.012337683851520124,-0.2300348224266054,-0.2212533644906924
sciplex3_24h_top2000,prnet_adapted_sciplex3,ridge_drug_fp,scaffold_heldout,30,0.015068344012598815,0.12635848490560092,-0.1112901408930021,0.016140622798128144,-0.11696234646278664,-0.1057627354097655
sciplex3_24h_top2000,prnet_adapted_sciplex3,transigen_adapted_sciplex3,cell_heldout,30,-0.001551285166678216,0.027016904363025653,-0.02856818952970387,0.04514609719565253,-0.044378187932617025,-0.012747936987054589
sciplex3_24h_top2000,prnet_adapted_sciplex3,transigen_adapted_sciplex3,cell_scaffold_heldout,30,0.0006453008400636998,0.016940423067588316,-0.01629512222752462,0.044968465652989245,-0.03210049176216548,-0.0004910237402114666
sciplex3_24h_top2000,prnet_adapted_sciplex3,transigen_adapted_sciplex3,random,30,0.017478089076454924,0.23285213785274547,-0.2153740487762905,0.014379520089096346,-0.2205358572730543,-0.21022566286338004
sciplex3_24h_top2000,prnet_adapted_sciplex3,transigen_adapted_sciplex3,scaffold_heldout,30,0.015068344012598815,0.21178583106316184,-0.19671748705056308,0.01768245001551008,-0.20290076954573855,-0.19052616853786733
