split_type,seeds,mean_all_gene_pearson,sd_all_gene_pearson,mean_all_gene_rmse,sd_all_gene_rmse,mean_top50_overlap,mean_top100_overlap,mean_top200_overlap,mean_top50_direction_agreement,mean_top100_direction_agreement,mean_top200_direction_agreement
cell_heldout,30,0.027016904363025653,0.02097478794526606,0.6630133794704026,0.6021700799429722,0.0725373384052834,0.09510045828651924,0.1376890345216491,0.5210126747735673,0.5198799645344986,0.5193022788113502
cell_scaffold_heldout,30,0.016940423067588316,0.016974637302194687,0.5808208272389532,0.43620836043345107,0.06908195453448943,0.09157694225671403,0.13288458868259517,0.5135945946072424,0.5164780695579775,0.5142736681404633
random,30,0.23285213785274544,0.01282832331023031,0.08037529412444748,0.0021365561531514017,0.17154362929046038,0.19973269382052267,0.2465281035968688,0.6715891788739504,0.6675657330110139,0.6597631315192526
scaffold_heldout,30,0.21178583106316187,0.019825706649422258,0.08351160699059236,0.006321548613315614,0.16732002900686624,0.19392887409202716,0.23945908055903337,0.6522423808366046,0.6478263110633506,0.6397350962543924
