split,baseline,n_train,n_test,layer,mask_layer,min_de_genes,alpha,n_bits,mean_rowwise_pearson,median_rowwise_pearson,mean_rmse,median_rmse,mean_de_rowwise_pearson,median_de_rowwise_pearson,mean_de_rmse,median_de_rmse,n_de_evaluable,seed
split_random,ridge_cell,436,109,clipped_sign_log10_pval,is_de,10,10.0,1024,0.296325802256877,0.2678634850232519,0.8296277227464691,0.6933279507941286,0.4629777478389347,0.4492244027100973,1.9247296952609096,1.8095597530026852,109,1
split_random,ridge_drug_fp,436,109,clipped_sign_log10_pval,is_de,10,10.0,1024,0.2592465997409201,0.210763761847348,0.884414539650956,0.7638330203879371,0.4250839555891176,0.4171457047006405,1.8468047066315776,1.791621741446829,109,1
split_random,ridge_cell_drug_fp,436,109,clipped_sign_log10_pval,is_de,10,10.0,1024,0.3284126517335518,0.2886537071155732,0.8543462806767744,0.76260493942535,0.5342277463802373,0.5381689192620053,1.741870150737188,1.6983746231007015,109,1
split_cell_heldout,ridge_cell,407,138,clipped_sign_log10_pval,is_de,10,10.0,1024,0.2163956838250756,0.2323151386689206,0.8800375759512316,0.7089417259171842,0.3612897458332529,0.4170409523256637,2.0220114738937656,1.876688617623994,138,1
split_cell_heldout,ridge_drug_fp,407,138,clipped_sign_log10_pval,is_de,10,10.0,1024,0.3876013679763427,0.374682520284088,0.8108727635003429,0.7068385251745722,0.6162352454483414,0.6684353738887525,1.685961489929103,1.616060196326547,138,1
split_cell_heldout,ridge_cell_drug_fp,407,138,clipped_sign_log10_pval,is_de,10,10.0,1024,0.3875550137047615,0.3747634646283374,0.8108472575583665,0.70681326094673,0.6163092799340514,0.6683918226459507,1.685880663934506,1.616198236245058,138,1
split_scaffold_heldout,ridge_cell,435,110,clipped_sign_log10_pval,is_de,10,10.0,1024,0.2515463930310138,0.2389084502909286,0.8936832845215631,0.719504608269484,0.4002221732376176,0.4185458852426408,1.9769556205891337,1.786146804790915,110,1
split_scaffold_heldout,ridge_drug_fp,435,110,clipped_sign_log10_pval,is_de,10,10.0,1024,0.1143884474962776,0.0976704381733031,0.9579059790551844,0.8079098534402167,0.2086227867283696,0.2143499732440156,2.0691197037842204,1.884743504901912,110,1
split_scaffold_heldout,ridge_cell_drug_fp,435,110,clipped_sign_log10_pval,is_de,10,10.0,1024,0.1837371437482416,0.1834340462173714,0.9448105484887944,0.7901534500008006,0.3206622825324423,0.3435186125589933,2.0004581681210953,1.813708564334239,110,1
split_cell_scaffold_heldout,ridge_cell,325,28,clipped_sign_log10_pval,is_de,10,10.0,1024,0.136017140975393,0.1564204212352615,0.98345818248374,0.725289678985854,0.2483959101161304,0.328891571297065,2.1110033455437613,1.8509914889237893,28,1
split_cell_scaffold_heldout,ridge_drug_fp,325,28,clipped_sign_log10_pval,is_de,10,10.0,1024,0.0684583438672507,0.0804422284716182,1.0430913731347626,0.7726016617678539,0.1451249707738688,0.1516608748777873,2.1512520545968252,1.9318391208096828,28,1
split_cell_scaffold_heldout,ridge_cell_drug_fp,325,28,clipped_sign_log10_pval,is_de,10,10.0,1024,0.0685834687193832,0.0801147707217873,1.042834111400379,0.7718603474714417,0.1451881750500609,0.1503307389044604,2.151181083707255,1.9303976298771293,28,1
split_random,ridge_cell,430,115,clipped_sign_log10_pval,is_de,10,10.0,1024,0.2696810232437315,0.2684423121240943,0.8276283284772791,0.7008170445372489,0.4238894414229041,0.4724604190050471,1.9158218264326203,1.8020076793719009,115,2
split_random,ridge_drug_fp,430,115,clipped_sign_log10_pval,is_de,10,10.0,1024,0.266209966068576,0.2408367309457827,0.8563400004551178,0.7355263180604341,0.4305907844069345,0.4309935265947025,1.8201523738678131,1.7859055786034117,115,2
split_random,ridge_cell_drug_fp,430,115,clipped_sign_log10_pval,is_de,10,10.0,1024,0.3331918493076901,0.3079095783139874,0.833954889742833,0.728288698707489,0.5311184862018787,0.5387095857213177,1.7210799606196543,1.6794884732655209,115,2
split_cell_heldout,ridge_cell,412,133,clipped_sign_log10_pval,is_de,10,10.0,1024,0.1441880136311693,0.1476575698309688,1.0590372971280138,0.9210488936521272,0.240419772005087,0.2633628563115021,2.233886346516339,2.1605509413260817,133,2
split_cell_heldout,ridge_drug_fp,412,133,clipped_sign_log10_pval,is_de,10,10.0,1024,0.2717838429649446,0.234657048278778,1.030128421964262,0.9273712208331332,0.4281698499111094,0.4330100894629305,2.0589796750335836,2.0103413310226137,133,2
split_cell_heldout,ridge_cell_drug_fp,412,133,clipped_sign_log10_pval,is_de,10,10.0,1024,0.2717537705509595,0.2345194385525146,1.030141791381479,0.9273715790067965,0.4281397878356071,0.4330306470037617,2.0590435595651506,2.01050593835257,133,2
split_scaffold_heldout,ridge_cell,435,110,clipped_sign_log10_pval,is_de,10,10.0,1024,0.3397667845221102,0.3232448040730893,0.8189922767555468,0.6803642263486187,0.5296802872398394,0.541901694842035,1.901236491398965,1.783780418925045,110,2
split_scaffold_heldout,ridge_drug_fp,435,110,clipped_sign_log10_pval,is_de,10,10.0,1024,0.1597442865178321,0.1284352419151925,0.9053885453722512,0.7652342234530762,0.2792299725182217,0.2499097585497528,1.997280476671288,1.9006727184658656,110,2
split_scaffold_heldout,ridge_cell_drug_fp,435,110,clipped_sign_log10_pval,is_de,10,10.0,1024,0.2321174284557577,0.2009954880786345,0.8889028109411494,0.7629884096638433,0.3967959742737595,0.3987916713573903,1.91922897912431,1.8379498360472009,110,2
split_cell_scaffold_heldout,ridge_cell,329,27,clipped_sign_log10_pval,is_de,10,10.0,1024,0.1597602513887998,0.1610025654353045,1.0085292704668976,0.8124449028625397,0.2753369489367641,0.257871066374109,2.1953907046476537,2.0762332579935316,27,2
split_cell_scaffold_heldout,ridge_drug_fp,329,27,clipped_sign_log10_pval,is_de,10,10.0,1024,0.0839658453416094,0.0565959380008566,1.072203143418457,0.945684380100432,0.1537162248335462,0.0894305788158664,2.221331244138986,2.101019493547176,27,2
split_cell_scaffold_heldout,ridge_cell_drug_fp,329,27,clipped_sign_log10_pval,is_de,10,10.0,1024,0.0840891519738391,0.0565046703161522,1.0721474894979108,0.9454340221095128,0.153949455727731,0.0892969666224634,2.2213058052440773,2.101066393659562,27,2
split_random,ridge_cell,433,112,clipped_sign_log10_pval,is_de,10,10.0,1024,0.3286363168826848,0.304388294675641,0.8820925016269279,0.7226840404978436,0.5042384667812435,0.5391595345167244,1.9665854804788037,1.8411071227574816,112,3
split_random,ridge_drug_fp,433,112,clipped_sign_log10_pval,is_de,10,10.0,1024,0.3207597425088404,0.2879765821957779,0.9098814811156308,0.8144002483654982,0.5075373503991114,0.5210068962308709,1.8231467472981933,1.7548065288176102,112,3
split_random,ridge_cell_drug_fp,433,112,clipped_sign_log10_pval,is_de,10,10.0,1024,0.3931606319404858,0.3734438354673645,0.8749348678419876,0.7785904775031465,0.6073194022272059,0.641287910905002,1.7128608713658338,1.673747403398207,112,3
split_cell_heldout,ridge_cell,412,133,clipped_sign_log10_pval,is_de,10,10.0,1024,0.1441880136311693,0.1476575698309688,1.0590372971280138,0.9210488936521272,0.240419772005087,0.2633628563115021,2.233886346516339,2.1605509413260817,133,3
split_cell_heldout,ridge_drug_fp,412,133,clipped_sign_log10_pval,is_de,10,10.0,1024,0.2717838429649446,0.234657048278778,1.030128421964262,0.9273712208331332,0.4281698499111094,0.4330100894629305,2.0589796750335836,2.0103413310226137,133,3
