dataset_file,size_bytes,size_gb,download_url,priority,likely_drug_perturbation
AissaBenevolenskaya2021.h5ad,45919115,0.043,https://zenodo.org/api/records/13350497/files/AissaBenevolenskaya2021.h5ad/content,high,True
SrivatsanTrapnell2020_sciplex2.h5ad,145178504,0.135,https://zenodo.org/api/records/13350497/files/SrivatsanTrapnell2020_sciplex2.h5ad/content,high,True
LotfollahiTheis2023.h5ad,235963662,0.22,https://zenodo.org/api/records/13350497/files/LotfollahiTheis2023.h5ad/content,high,True
SrivatsanTrapnell2020_sciplex4.h5ad,253335945,0.236,https://zenodo.org/api/records/13350497/files/SrivatsanTrapnell2020_sciplex4.h5ad/content,high,True
McFarlandTsherniak2020.h5ad,1459410830,1.359,https://zenodo.org/api/records/13350497/files/McFarlandTsherniak2020.h5ad/content,high,True
SrivatsanTrapnell2020_sciplex3.h5ad,2526631614,2.353,https://zenodo.org/api/records/13350497/files/SrivatsanTrapnell2020_sciplex3.h5ad/content,high,True
PapalexiSatija2021_eccite_arrayed_protein.h5ad,550922,0.001,https://zenodo.org/api/records/13350497/files/PapalexiSatija2021_eccite_arrayed_protein.h5ad/content,review,False
PapalexiSatija2021_eccite_protein.h5ad,1191551,0.001,https://zenodo.org/api/records/13350497/files/PapalexiSatija2021_eccite_protein.h5ad/content,review,False
SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_8_screen.h5ad,21015792,0.02,https://zenodo.org/api/records/13350497/files/SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_8_screen.h5ad/content,review,False
SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_11_screen.h5ad,21815981,0.02,https://zenodo.org/api/records/13350497/files/SchraivogelSteinmetz2020_TAP_SCREEN__chromosome_11_screen.h5ad/content,review,False
FrangiehIzar2021_protein.h5ad,24714445,0.023,https://zenodo.org/api/records/13350497/files/FrangiehIzar2021_protein.h5ad/content,review,False
DatlingerBock2021.h5ad,33600780,0.031,https://zenodo.org/api/records/13350497/files/DatlingerBock2021.h5ad/content,review,False
AdamsonWeissman2016_GSM2406675_10X001.h5ad,34557246,0.032,https://zenodo.org/api/records/13350497/files/AdamsonWeissman2016_GSM2406675_10X001.h5ad/content,review,False
DatlingerBock2017.h5ad,39085166,0.036,https://zenodo.org/api/records/13350497/files/DatlingerBock2017.h5ad/content,review,False
PapalexiSatija2021_eccite_arrayed_RNA.h5ad,52339395,0.049,https://zenodo.org/api/records/13350497/files/PapalexiSatija2021_eccite_arrayed_RNA.h5ad/content,review,False
GehringPachter2019.h5ad,73274146,0.068,https://zenodo.org/api/records/13350497/files/GehringPachter2019.h5ad/content,review,False
XieHon2017.h5ad,117356359,0.109,https://zenodo.org/api/records/13350497/files/XieHon2017.h5ad/content,review,False
DixitRegev2016_K562_TFs_13_days.h5ad,121166672,0.113,https://zenodo.org/api/records/13350497/files/DixitRegev2016_K562_TFs_13_days.h5ad/content,review,False
AdamsonWeissman2016_GSM2406677_10X005.h5ad,139059637,0.13,https://zenodo.org/api/records/13350497/files/AdamsonWeissman2016_GSM2406677_10X005.h5ad/content,review,False
PapalexiSatija2021_eccite_RNA.h5ad,147215278,0.137,https://zenodo.org/api/records/13350497/files/PapalexiSatija2021_eccite_RNA.h5ad/content,review,False
TianKampmann2021_CRISPRa.h5ad,154788473,0.144,https://zenodo.org/api/records/13350497/files/TianKampmann2021_CRISPRa.h5ad/content,review,False
WesselsSatija2023.h5ad,219393529,0.204,https://zenodo.org/api/records/13350497/files/WesselsSatija2023.h5ad/content,review,False
WeinrebKlein2020.h5ad,228524613,0.213,https://zenodo.org/api/records/13350497/files/WeinrebKlein2020.h5ad/content,review,False
DixitRegev2016_K562_TFs_7_days.h5ad,256685252,0.239,https://zenodo.org/api/records/13350497/files/DixitRegev2016_K562_TFs_7_days.h5ad/content,review,False
TianKampmann2019_day7neuron.h5ad,268921535,0.25,https://zenodo.org/api/records/13350497/files/TianKampmann2019_day7neuron.h5ad/content,review,False
TianKampmann2021_CRISPRi.h5ad,289389479,0.27,https://zenodo.org/api/records/13350497/files/TianKampmann2021_CRISPRi.h5ad/content,review,False
DixitRegev2016_K562_TFs_High_MOI.h5ad,319735470,0.298,https://zenodo.org/api/records/13350497/files/DixitRegev2016_K562_TFs_High_MOI.h5ad/content,review,False
GasperiniShendure2019_lowMOI.h5ad,322716827,0.301,https://zenodo.org/api/records/13350497/files/GasperiniShendure2019_lowMOI.h5ad/content,review,False
XuCao2023.h5ad,336637209,0.314,https://zenodo.org/api/records/13350497/files/XuCao2023.h5ad/content,review,False
TianKampmann2019_iPSC.h5ad,350848489,0.327,https://zenodo.org/api/records/13350497/files/TianKampmann2019_iPSC.h5ad/content,review,False
LiangWang2023.h5ad,364166137,0.339,https://zenodo.org/api/records/13350497/files/LiangWang2023.h5ad/content,review,False
SchiebingerLander2019_GSE106340.h5ad,378858726,0.353,https://zenodo.org/api/records/13350497/files/SchiebingerLander2019_GSE106340.h5ad/content,review,False
GasperiniShendure2019_highMOI.h5ad,418337592,0.39,https://zenodo.org/api/records/13350497/files/GasperiniShendure2019_highMOI.h5ad/content,review,False
AdamsonWeissman2016_GSM2406681_10X010.h5ad,471286951,0.439,https://zenodo.org/api/records/13350497/files/AdamsonWeissman2016_GSM2406681_10X010.h5ad/content,review,False
CuiHacohen2023.h5ad,472111867,0.44,https://zenodo.org/api/records/13350497/files/CuiHacohen2023.h5ad/content,review,False
ChangYe2021.h5ad,501823050,0.467,https://zenodo.org/api/records/13350497/files/ChangYe2021.h5ad/content,review,False
ZhaoSims2021.h5ad,586888140,0.547,https://zenodo.org/api/records/13350497/files/ZhaoSims2021.h5ad/content,review,False
NormanWeissman2019_filtered.h5ad,698680199,0.651,https://zenodo.org/api/records/13350497/files/NormanWeissman2019_filtered.h5ad/content,review,False
SunshineHein2023.h5ad,743672579,0.693,https://zenodo.org/api/records/13350497/files/SunshineHein2023.h5ad/content,review,False
LaraAstiasoHuntly2023_invivo.h5ad,760312556,0.708,https://zenodo.org/api/records/13350497/files/LaraAstiasoHuntly2023_invivo.h5ad/content,review,False
JoungZhang2023_combinatorial.h5ad,834073300,0.777,https://zenodo.org/api/records/13350497/files/JoungZhang2023_combinatorial.h5ad/content,review,False
NadigOConner2024_hepg2.h5ad,850590740,0.792,https://zenodo.org/api/records/13350497/files/NadigOConner2024_hepg2.h5ad/content,review,False
ShifrutMarson2018.h5ad,871481676,0.812,https://zenodo.org/api/records/13350497/files/ShifrutMarson2018.h5ad/content,review,False
SantinhaPlatt2023.h5ad,939335004,0.875,https://zenodo.org/api/records/13350497/files/SantinhaPlatt2023.h5ad/content,review,False
LaraAstiasoHuntly2023_exvivo.h5ad,1080740763,1.007,https://zenodo.org/api/records/13350497/files/LaraAstiasoHuntly2023_exvivo.h5ad/content,review,False
LaraAstiasoHuntly2023_leukemia.h5ad,1176002572,1.095,https://zenodo.org/api/records/13350497/files/LaraAstiasoHuntly2023_leukemia.h5ad/content,review,False
ReplogleWeissman2022_rpe1.h5ad,1236886900,1.152,https://zenodo.org/api/records/13350497/files/ReplogleWeissman2022_rpe1.h5ad/content,review,False
