query_name,matched_name,pubchem_cid,canonical_smiles,isomeric_smiles,iupac_name,molecular_formula,status
(+)-JQ1,(+)-JQ1,46907787,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,CC1=C(SC2=C1C(=N[C@H](C3=NN=C(N32)C)CC(=O)OC(C)(C)C)C4=CC=C(C=C4)Cl)C,"tert-butyl 2-[(9S)-7-(4-chlorophenyl)-4,5,13-trimethyl-3-thia-1,8,11,12-tetrazatricyclo[8.3.0.02,6]trideca-2(6),4,7,10,12-pentaen-9-yl]acetate",C23H25ClN4O2S,matched
2-Methoxyestradiol (2-MeOE2),2-Methoxyestradiol (2-MeOE2),66414,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,"(8R,9S,13S,14S,17S)-2-methoxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol",C19H26O3,matched
A-366,A-366,76285486,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,COC1=C(C=C2C(=C1)C3(CCC3)C(=N2)N)OCCCN4CCCC4,"5'-methoxy-6'-(3-pyrrolidin-1-ylpropoxy)spiro[cyclobutane-1,3'-indole]-2'-amine",C19H27N3O2,matched
ABT-737,ABT-737,11228183,CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-],CN(C)CC[C@H](CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-],4-[4-[[2-(4-chlorophenyl)phenyl]methyl]piperazin-1-yl]-N-[4-[[(2R)-4-(dimethylamino)-1-phenylsulfanylbutan-2-yl]amino]-3-nitrophenyl]sulfonylbenzamide,C42H45ClN6O5S2,matched
AC480 (BMS-599626),AC480 (BMS-599626),10437018,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F,CC1=C2C(=NC=NN2C=C1NC(=O)OC[C@@H]3COCCN3)NC4=CC5=C(C=C4)N(N=C5)CC6=CC(=CC=C6)F,"[(3S)-morpholin-3-yl]methyl N-[4-[[1-[(3-fluorophenyl)methyl]indazol-5-yl]amino]-5-methylpyrrolo[2,1-f][1,2,4]triazin-6-yl]carbamate",C27H27FN8O3,matched
AG-14361,AG-14361,9840076,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O,CN(C)CC1=CC=C(C=C1)C2=NC3=CC=CC4=C3N2CCNC4=O,"2-[4-[(dimethylamino)methyl]phenyl]-1,3,10-triazatricyclo[6.4.1.04,13]trideca-2,4,6,8(13)-tetraen-9-one",C19H20N4O,matched
AG-490 (Tyrphostin B42),AG-490 (Tyrphostin B42),5328779,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N,C1=CC=C(C=C1)CNC(=O)/C(=C/C2=CC(=C(C=C2)O)O)/C#N,"(E)-N-benzyl-2-cyano-3-(3,4-dihydroxyphenyl)prop-2-enamide",C17H14N2O3,matched
AICAR (Acadesine),AICAR (Acadesine),17513,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)C(=O)N,C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)C(=O)N,"5-amino-1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]imidazole-4-carboxamide",C9H14N4O5,matched
AMG-900,AMG-900,24856041,CC1=CSC(=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC=C(C=C4)OC5=C(C=CC=N5)C6=NC(=NC=C6)N,CC1=CSC(=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC=C(C=C4)OC5=C(C=CC=N5)C6=NC(=NC=C6)N,N-[4-[[3-(2-aminopyrimidin-4-yl)-2-pyridinyl]oxy]phenyl]-4-(4-methylthiophen-2-yl)phthalazin-1-amine,C28H21N7OS,matched
AR-42,AR-42,6918848,CC(C)[C@@H](C1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)C(=O)NO,CC(C)[C@@H](C1=CC=CC=C1)C(=O)NC2=CC=C(C=C2)C(=O)NO,N-hydroxy-4-[[(2S)-3-methyl-2-phenylbutanoyl]amino]benzamide,C18H20N2O3,matched
AT9283,AT9283,135398495,C1CC1NC(=O)NC2=C(NN=C2)C3=NC4=C(N3)C=C(C=C4)CN5CCOCC5,C1CC1NC(=O)NC2=C(NN=C2)C3=NC4=C(N3)C=C(C=C4)CN5CCOCC5,1-cyclopropyl-3-[5-[6-(morpholin-4-ylmethyl)-1H-benzimidazol-2-yl]-1H-pyrazol-4-yl]urea,C19H23N7O2,matched
AZ 960,AZ 960,25099184,CC1=CC(=NN1)NC2=C(C=C(C(=N2)N[C@@H](C)C3=CC=C(C=C3)F)C#N)F,CC1=CC(=NN1)NC2=C(C=C(C(=N2)N[C@@H](C)C3=CC=C(C=C3)F)C#N)F,5-fluoro-2-[[(1S)-1-(4-fluorophenyl)ethyl]amino]-6-[(5-methyl-1H-pyrazol-3-yl)amino]pyridine-3-carbonitrile,C18H16F2N6,matched
AZD1480,AZD1480,16659841,CC1=CC(=NN1)NC2=NC(=NC=C2Cl)N[C@@H](C)C3=NC=C(C=N3)F,CC1=CC(=NN1)NC2=NC(=NC=C2Cl)N[C@@H](C)C3=NC=C(C=N3)F,"5-chloro-2-N-[(1S)-1-(5-fluoropyrimidin-2-yl)ethyl]-4-N-(5-methyl-1H-pyrazol-3-yl)pyrimidine-2,4-diamine",C14H14ClFN8,matched
Abexinostat (PCI-24781),Abexinostat (PCI-24781),11749858,CN(C)CC1=C(OC2=CC=CC=C21)C(=O)NCCOC3=CC=C(C=C3)C(=O)NO,CN(C)CC1=C(OC2=CC=CC=C21)C(=O)NCCOC3=CC=C(C=C3)C(=O)NO,3-[(dimethylamino)methyl]-N-[2-[4-(hydroxycarbamoyl)phenoxy]ethyl]-1-benzofuran-2-carboxamide,C21H23N3O5,matched
Alendronate sodium trihydrate,Alendronate sodium trihydrate,23681107,C(CC(O)(P(=O)(O)O)P(=O)(O)[O-])CN.O.O.O.[Na+],C(CC(O)(P(=O)(O)O)P(=O)(O)[O-])CN.O.O.O.[Na+],sodium;(4-amino-1-hydroxy-1-phosphonobutyl)-hydroxyphosphinate;trihydrate,C4H18NNaO10P2,matched
Alisertib (MLN8237),Alisertib (MLN8237),24771867,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC,"4-[[9-chloro-7-(2-fluoro-6-methoxyphenyl)-5H-pyrimido[5,4-d][2]benzazepin-2-yl]amino]-2-methoxybenzoic acid",C27H20ClFN4O4,matched
Altretamine,Altretamine,2123,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,"2-N,2-N,4-N,4-N,6-N,6-N-hexamethyl-1,3,5-triazine-2,4,6-triamine",C9H18N6,matched
Alvespimycin (17-DMAG) HCl,Alvespimycin (17-DMAG) HCl,9852573,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCCN(C)C)/C)OC)OC(=O)N)\C)C)O)OC.Cl,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCCN(C)C)/C)OC)OC(=O)N)\C)C)O)OC.Cl,"[(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-19-[2-(dimethylamino)ethylamino]-13-hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl] carbamate;hydrochloride",C32H49ClN4O8,matched
Aminoglutethimide ,Aminoglutethimide,2145,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,"3-(4-aminophenyl)-3-ethylpiperidine-2,6-dione",C13H16N2O2,matched
Amisulpride,Amisulpride,2159,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,4-amino-N-[(1-ethylpyrrolidin-2-yl)methyl]-5-ethylsulfonyl-2-methoxybenzamide,C17H27N3O4S,matched
Anacardic Acid,Anacardic Acid,167551,CCCCCCCCCCCCCCCC1=C(C(=CC=C1)O)C(=O)O,CCCCCCCCCCCCCCCC1=C(C(=CC=C1)O)C(=O)O,2-hydroxy-6-pentadecylbenzoic acid,C22H36O3,matched
Andarine,Andarine,9824562,CC(=O)NC1=CC=C(C=C1)OC[C@@](C)(C(=O)NC2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)O,CC(=O)NC1=CC=C(C=C1)OC[C@@](C)(C(=O)NC2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)O,(2S)-3-(4-acetamidophenoxy)-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide,C19H18F3N3O6,matched
Aurora A Inhibitor I,Aurora A Inhibitor I,44139710,CCN1CCN(CC1)C(=O)CC2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5Cl)F,CCN1CCN(CC1)C(=O)CC2=CC=C(C=C2)NC3=NC=C(C(=N3)NC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5Cl)F,N-(2-chlorophenyl)-4-[[2-[4-[2-(4-ethylpiperazin-1-yl)-2-oxoethyl]anilino]-5-fluoropyrimidin-4-yl]amino]benzamide,C31H31ClFN7O2,matched
