dataset,model,model_label,contrast,metric,n_seed_units,mean_difference,ci95_low,ci95_high
openproblems_neurips2023,global_train_mean,Global mean,random_minus_scaffold_heldout,mean_pathway_pearson,10,-0.0031047872198347428,-0.044834222071248604,0.03337340238074109
openproblems_neurips2023,global_train_mean,Global mean,random_minus_cell_scaffold_heldout,mean_pathway_pearson,10,0.0458137286452338,0.010358497095710037,0.07815266034566185
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,random_minus_scaffold_heldout,mean_pathway_pearson,10,0.234996982757646,0.20593163473416967,0.26756020203434255
openproblems_neurips2023,ridge_cell_drug_fp,Ridge cell+drug FP,random_minus_cell_scaffold_heldout,mean_pathway_pearson,10,0.3429346203830451,0.29346565529021584,0.38937023100978174
sciplex3_24h_top2000,global_train_mean,Global mean,random_minus_scaffold_heldout,mean_pathway_pearson,30,-0.0029008194703449603,-0.01252047781542084,0.006712906930456187
sciplex3_24h_top2000,global_train_mean,Global mean,random_minus_cell_scaffold_heldout,mean_pathway_pearson,30,0.06344800389768522,0.04695845509710975,0.07931716600816831
sciplex3_24h_top2000,prnet_adapted_sciplex3,PRnet-style,random_minus_scaffold_heldout,mean_pathway_pearson,30,0.013971134511826177,0.0026183750927584798,0.02555274567301336
sciplex3_24h_top2000,prnet_adapted_sciplex3,PRnet-style,random_minus_cell_scaffold_heldout,mean_pathway_pearson,30,-0.0008887932840695892,-0.019823691363665744,0.018524412844371632
sciplex3_24h_top2000,ridge_cell_dose_drug_fp,Ridge cell+dose+drug FP,random_minus_scaffold_heldout,mean_pathway_pearson,30,0.12584127765467043,0.11578500790657986,0.13639409770297425
sciplex3_24h_top2000,ridge_cell_dose_drug_fp,Ridge cell+dose+drug FP,random_minus_cell_scaffold_heldout,mean_pathway_pearson,30,0.24270276572549637,0.2229013292335323,0.2619643744215504
sciplex3_24h_top2000,ridge_drug_fp,Ridge drug FP,random_minus_scaffold_heldout,mean_pathway_pearson,30,0.16035719078560504,0.14976007984397274,0.17083714055789753
sciplex3_24h_top2000,ridge_drug_fp,Ridge drug FP,random_minus_cell_scaffold_heldout,mean_pathway_pearson,30,0.22786785819525235,0.20915099634500528,0.24574684372657243
sciplex3_24h_top2000,transigen_adapted_sciplex3,TranSiGen-style,random_minus_scaffold_heldout,mean_pathway_pearson,30,0.016500642596969484,0.003693705474980028,0.028612201199333526
sciplex3_24h_top2000,transigen_adapted_sciplex3,TranSiGen-style,random_minus_cell_scaffold_heldout,mean_pathway_pearson,30,0.21781166820626616,0.20182437844479156,0.23518430953665673
