seed,split,split_label,baseline,n_train,n_test,mean_rowwise_pearson,median_rowwise_pearson,mean_rmse,median_rmse,alpha,n_bits
18,split_random,random,global_train_mean,1750,450,0.16496810851726537,0.12960621013092774,0.08608838208246503,0.06594833365276642,,
18,split_random,random,cell_context_mean,1750,450,0.23338373778960803,0.20184327039177077,0.08530846298831664,0.06541656430547563,,
18,split_random,random,drug_mean,1750,450,0.24550673135228995,0.2060222545835927,0.08440886320644782,0.06881900755770264,,
18,split_random,random,cell_dose_mean,1750,450,0.2530499581487147,0.2283734365261944,0.08493253977516269,0.06741675579635499,,
18,split_random,random,ridge_cell_dose,1750,450,0.23502123225351457,0.20488688736007454,0.08512619355138927,0.06593038257644149,10.0,
18,split_random,random,ridge_drug_fp,1750,450,0.24954013006095452,0.2101704018596461,0.08368056713566331,0.06798819335952207,10.0,1024.0
18,split_random,random,ridge_cell_dose_drug_fp,1750,450,0.29686274296024306,0.25551741724722193,0.08254722295402193,0.06800456421966651,10.0,1024.0
18,split_cell_heldout,cell_heldout,global_train_mean,1463,737,0.08939470886302463,0.06347405716358166,0.09225326986452555,0.07118487918076756,,
18,split_cell_heldout,cell_heldout,cell_context_mean,1463,737,0.08939470886302463,0.06347405716358166,0.09225326986452555,0.07118487918076756,,
18,split_cell_heldout,cell_heldout,drug_mean,1463,737,0.1501872246610215,0.1198777509882804,0.09440988754424856,0.07542853312342089,,
18,split_cell_heldout,cell_heldout,cell_dose_mean,1463,737,0.08939470886302463,0.06347405716358166,0.09225326986452555,0.07118487918076756,,
18,split_cell_heldout,cell_heldout,ridge_cell_dose,1463,737,0.08615650990795828,0.05916994684760455,0.09243476356930533,0.0719811675239751,10.0,
18,split_cell_heldout,cell_heldout,ridge_drug_fp,1463,737,0.15147595994049529,0.12178679810575663,0.09369709435166919,0.07491952778693362,10.0,1024.0
18,split_cell_heldout,cell_heldout,ridge_cell_dose_drug_fp,1463,737,0.14894606990395184,0.11511369104167447,0.09401522726318934,0.0755775155049565,10.0,1024.0
18,split_scaffold_heldout,scaffold_heldout,global_train_mean,1692,508,0.15422602409168468,0.12711562234473422,0.08576071194607492,0.06452002663215323,,
18,split_scaffold_heldout,scaffold_heldout,cell_context_mean,1692,508,0.22131034750168596,0.19336598006717262,0.08527186667421764,0.06450306380522793,,
18,split_scaffold_heldout,scaffold_heldout,drug_mean,1692,508,0.15422602409168468,0.12711562234473422,0.08576071194607492,0.06452002663215323,,
18,split_scaffold_heldout,scaffold_heldout,cell_dose_mean,1692,508,0.24269613379449803,0.22069720672708118,0.08494146847537541,0.06524127768016799,,
18,split_scaffold_heldout,scaffold_heldout,ridge_cell_dose,1692,508,0.22140097465350606,0.194582937340676,0.0852007189667706,0.06473253303288953,10.0,
18,split_scaffold_heldout,scaffold_heldout,ridge_drug_fp,1692,508,0.13658364624118854,0.09122790361888011,0.0884573501914737,0.0706681854414814,10.0,1024.0
18,split_scaffold_heldout,scaffold_heldout,ridge_cell_dose_drug_fp,1692,508,0.19741760968354244,0.15366790587117074,0.08777101270141775,0.070638692276864,10.0,1024.0
18,split_cell_scaffold_heldout,cell_scaffold_heldout,global_train_mean,1127,172,0.07970111168442216,0.05060700275915274,0.09531572099768201,0.07094440216968366,,
18,split_cell_scaffold_heldout,cell_scaffold_heldout,cell_context_mean,1127,172,0.07970111168442216,0.05060700275915274,0.09531572099768201,0.07094440216968366,,
18,split_cell_scaffold_heldout,cell_scaffold_heldout,drug_mean,1127,172,0.07970111168442216,0.05060700275915274,0.09531572099768201,0.07094440216968366,,
18,split_cell_scaffold_heldout,cell_scaffold_heldout,cell_dose_mean,1127,172,0.07970111168442216,0.05060700275915274,0.09531572099768201,0.07094440216968366,,
18,split_cell_scaffold_heldout,cell_scaffold_heldout,ridge_cell_dose,1127,172,0.07754039538272556,0.044909222003874025,0.09563177483057622,0.07174955746097714,10.0,
18,split_cell_scaffold_heldout,cell_scaffold_heldout,ridge_drug_fp,1127,172,0.07311357326896732,0.049790507204249476,0.09848301012039341,0.07743445978259328,10.0,1024.0
18,split_cell_scaffold_heldout,cell_scaffold_heldout,ridge_cell_dose_drug_fp,1127,172,0.07312436570676484,0.04518890776104145,0.09889544640050957,0.07741363644363339,10.0,1024.0
