seed,split,split_label,baseline,n_train,n_test,mean_rowwise_pearson,median_rowwise_pearson,mean_rmse,median_rmse,alpha,n_bits
20,split_random,random,global_train_mean,1750,450,0.14979920864373458,0.1281951438337255,0.08055184100692327,0.06530892088737422,,
20,split_random,random,cell_context_mean,1750,450,0.22047713404562602,0.19815718326070836,0.08015753579833326,0.06556290791620012,,
20,split_random,random,drug_mean,1750,450,0.23092069377776944,0.19381884377828268,0.08062547837095808,0.06821646613966659,,
20,split_random,random,cell_dose_mean,1750,450,0.237274101659704,0.22688677082303155,0.08018081311963518,0.06582858323471016,,
20,split_random,random,ridge_cell_dose,1750,450,0.21878256660642367,0.19877980497636483,0.08018214552361642,0.06563947052082461,10.0,
20,split_random,random,ridge_drug_fp,1750,450,0.23272943945928326,0.19270895983593023,0.0799852003224731,0.06763278214297351,10.0,1024.0
20,split_random,random,ridge_cell_dose_drug_fp,1750,450,0.2818497504729457,0.23877893500839614,0.07911640187768057,0.06880163909048412,10.0,1024.0
20,split_cell_heldout,cell_heldout,global_train_mean,1463,737,0.08939470886302463,0.06347405716358166,0.09225326986452555,0.07118487918076756,,
20,split_cell_heldout,cell_heldout,cell_context_mean,1463,737,0.08939470886302463,0.06347405716358166,0.09225326986452555,0.07118487918076756,,
20,split_cell_heldout,cell_heldout,drug_mean,1463,737,0.1501872246610215,0.1198777509882804,0.09440988754424856,0.07542853312342089,,
20,split_cell_heldout,cell_heldout,cell_dose_mean,1463,737,0.08939470886302463,0.06347405716358166,0.09225326986452555,0.07118487918076756,,
20,split_cell_heldout,cell_heldout,ridge_cell_dose,1463,737,0.08615650990795828,0.05916994684760455,0.09243476356930533,0.0719811675239751,10.0,
20,split_cell_heldout,cell_heldout,ridge_drug_fp,1463,737,0.15147595994049529,0.12178679810575663,0.09369709435166919,0.07491952778693362,10.0,1024.0
20,split_cell_heldout,cell_heldout,ridge_cell_dose_drug_fp,1463,737,0.14894606990395184,0.11511369104167447,0.09401522726318934,0.0755775155049565,10.0,1024.0
20,split_scaffold_heldout,scaffold_heldout,global_train_mean,1775,425,0.1610237801497135,0.1253165648283972,0.09095686693967571,0.06621752696005398,,
20,split_scaffold_heldout,scaffold_heldout,cell_context_mean,1775,425,0.23320278558891874,0.2055847169923704,0.09005378652313704,0.06606645397104141,,
20,split_scaffold_heldout,scaffold_heldout,drug_mean,1775,425,0.1610237801497135,0.1253165648283972,0.09095686693967571,0.06621752696005398,,
20,split_scaffold_heldout,scaffold_heldout,cell_dose_mean,1775,425,0.2534225775036517,0.22958427441027876,0.08948666008621875,0.06663600259390925,,
20,split_scaffold_heldout,scaffold_heldout,ridge_cell_dose,1775,425,0.2341694986858474,0.20842393328209038,0.0898722180281295,0.06605129596518666,10.0,
20,split_scaffold_heldout,scaffold_heldout,ridge_drug_fp,1775,425,0.1319287766206412,0.08353904883902134,0.09322399209081875,0.07345092161188169,10.0,1024.0
20,split_scaffold_heldout,scaffold_heldout,ridge_cell_dose_drug_fp,1775,425,0.19910047044676718,0.15265711309306398,0.09215950423949364,0.0739605222876587,10.0,1024.0
20,split_cell_scaffold_heldout,cell_scaffold_heldout,global_train_mean,1181,143,0.09574550764128174,0.07636121963945429,0.10135179957242141,0.07320635898142286,,
20,split_cell_scaffold_heldout,cell_scaffold_heldout,cell_context_mean,1181,143,0.09574550764128174,0.07636121963945429,0.10135179957242141,0.07320635898142286,,
20,split_cell_scaffold_heldout,cell_scaffold_heldout,drug_mean,1181,143,0.09574550764128174,0.07636121963945429,0.10135179957242141,0.07320635898142286,,
20,split_cell_scaffold_heldout,cell_scaffold_heldout,cell_dose_mean,1181,143,0.09574550764128174,0.07636121963945429,0.10135179957242141,0.07320635898142286,,
20,split_cell_scaffold_heldout,cell_scaffold_heldout,ridge_cell_dose,1181,143,0.09314660065183568,0.07140554281983928,0.10148959021500155,0.07420192598397986,10.0,
20,split_cell_scaffold_heldout,cell_scaffold_heldout,ridge_drug_fp,1181,143,0.08522208584637432,0.03586466319614226,0.10425899797858681,0.07857699956825064,10.0,1024.0
20,split_cell_scaffold_heldout,cell_scaffold_heldout,ridge_cell_dose_drug_fp,1181,143,0.0887963150090121,0.048052340000993864,0.10456765391321879,0.07968864988773856,10.0,1024.0
