dataset,contrast,model_count,mean_spearman,sd_spearman,percent_negative,random_best_model,random_best_rank_in_joint,status
openproblems_neurips2023,random_vs_scaffold_heldout,11,0.4236913042477308,,0.0,svd50_ridge_cell_drug_fp,4.0,aggregate_existing_results
openproblems_neurips2023,random_vs_joint_cell_scaffold_heldout,11,0.0597740636833213,,0.0,svd50_ridge_cell_drug_fp,6.0,aggregate_existing_results
sciplex3_24h_top2000,random_vs_scaffold_heldout,7,0.1261312447773782,,0.0,ridge_cell_dose_drug_fp,4.0,aggregate_existing_results
sciplex3_24h_top2000,random_vs_joint_cell_scaffold_heldout,7,-0.3940552031195503,,1.0,ridge_cell_dose_drug_fp,6.0,aggregate_existing_results
