gene_set_name,model_label,mean_abs_error
HALLMARK_APOPTOSIS,PRnet-style,0.3939241774361813
HALLMARK_APOPTOSIS,Ridge cell+dose+drug FP,0.02536050575210375
HALLMARK_APOPTOSIS,TranSiGen-style,0.14144710020202542
HALLMARK_E2F_TARGETS,PRnet-style,0.33215330259421005
HALLMARK_E2F_TARGETS,Ridge cell+dose+drug FP,0.041373046966807464
HALLMARK_E2F_TARGETS,TranSiGen-style,0.24747890092625902
HALLMARK_G2M_CHECKPOINT,PRnet-style,0.3559658788012856
HALLMARK_G2M_CHECKPOINT,Ridge cell+dose+drug FP,0.0330727941502907
HALLMARK_G2M_CHECKPOINT,TranSiGen-style,0.19048055891780832
HALLMARK_INTERFERON_GAMMA_RESPONSE,PRnet-style,0.3287982553858607
HALLMARK_INTERFERON_GAMMA_RESPONSE,Ridge cell+dose+drug FP,0.02688127539364479
HALLMARK_INTERFERON_GAMMA_RESPONSE,TranSiGen-style,0.09636158012615917
HALLMARK_MTORC1_SIGNALING,PRnet-style,0.43226263220861955
HALLMARK_MTORC1_SIGNALING,Ridge cell+dose+drug FP,0.033330367756273606
HALLMARK_MTORC1_SIGNALING,TranSiGen-style,0.1559278103695229
HALLMARK_P53_PATHWAY,PRnet-style,0.3375552738337283
HALLMARK_P53_PATHWAY,Ridge cell+dose+drug FP,0.02719764055114767
HALLMARK_P53_PATHWAY,TranSiGen-style,0.11179492787333475
HALLMARK_TNFA_SIGNALING_VIA_NFKB,PRnet-style,0.4253957794065693
HALLMARK_TNFA_SIGNALING_VIA_NFKB,Ridge cell+dose+drug FP,0.03607970496048915
HALLMARK_TNFA_SIGNALING_VIA_NFKB,TranSiGen-style,0.1650931913211472
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,PRnet-style,0.36815478190889295
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Ridge cell+dose+drug FP,0.03174270007019587
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,TranSiGen-style,0.14229697637120928
