record_id,drug_name,cell_line,dose_value,time,n_cells,smiles,isomeric_smiles,pubchem_cid,scaffold,sample_id,cell_line_24h_control_profile
2-Methoxyestradiol (2-MeOE2)__A549__10nM__24h,2-Methoxyestradiol (2-MeOE2),A549,10.0,24.0,209,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,66414,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,2-Methoxyestradiol (2-MeOE2)__A549__10nM__24h,A549_24h_control_profile
2-Methoxyestradiol (2-MeOE2)__A549__100nM__24h,2-Methoxyestradiol (2-MeOE2),A549,100.0,24.0,193,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,66414,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,2-Methoxyestradiol (2-MeOE2)__A549__100nM__24h,A549_24h_control_profile
2-Methoxyestradiol (2-MeOE2)__A549__1000nM__24h,2-Methoxyestradiol (2-MeOE2),A549,1000.0,24.0,203,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,66414,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,2-Methoxyestradiol (2-MeOE2)__A549__1000nM__24h,A549_24h_control_profile
2-Methoxyestradiol (2-MeOE2)__A549__10000nM__24h,2-Methoxyestradiol (2-MeOE2),A549,10000.0,24.0,166,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,66414,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,2-Methoxyestradiol (2-MeOE2)__A549__10000nM__24h,A549_24h_control_profile
2-Methoxyestradiol (2-MeOE2)__K562__10nM__24h,2-Methoxyestradiol (2-MeOE2),K562,10.0,24.0,250,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,66414,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,2-Methoxyestradiol (2-MeOE2)__K562__10nM__24h,K562_24h_control_profile
2-Methoxyestradiol (2-MeOE2)__K562__100nM__24h,2-Methoxyestradiol (2-MeOE2),K562,100.0,24.0,246,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,66414,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,2-Methoxyestradiol (2-MeOE2)__K562__100nM__24h,K562_24h_control_profile
2-Methoxyestradiol (2-MeOE2)__K562__1000nM__24h,2-Methoxyestradiol (2-MeOE2),K562,1000.0,24.0,159,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,66414,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,2-Methoxyestradiol (2-MeOE2)__K562__1000nM__24h,K562_24h_control_profile
2-Methoxyestradiol (2-MeOE2)__MCF7__10nM__24h,2-Methoxyestradiol (2-MeOE2),MCF7,10.0,24.0,524,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,66414,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,2-Methoxyestradiol (2-MeOE2)__MCF7__10nM__24h,MCF7_24h_control_profile
2-Methoxyestradiol (2-MeOE2)__MCF7__100nM__24h,2-Methoxyestradiol (2-MeOE2),MCF7,100.0,24.0,404,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,66414,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,2-Methoxyestradiol (2-MeOE2)__MCF7__100nM__24h,MCF7_24h_control_profile
2-Methoxyestradiol (2-MeOE2)__MCF7__1000nM__24h,2-Methoxyestradiol (2-MeOE2),MCF7,1000.0,24.0,593,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,66414,c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21,2-Methoxyestradiol (2-MeOE2)__MCF7__1000nM__24h,MCF7_24h_control_profile
